Pre_surn	Pre_fore
Aglionbye	Thomas
Aglyonby	Henrici
Agnett	Romanus
Agnew	Andreas
Agnew	Andrew
Agthorpe	Johannis
Aiglin	Willimus
Ailemer	Arthur
Aileworth	Hugo
Aileworth	Humphrey
Ailmer	Arthur
Ailmer	Johannis
Ailmer	John
Ailmer	Theophili
Ailmer	Thomas
Ailmer	William
Ainge	Joseph
Ainger	William
Ainslie	Gilbert
Ainslie	Henry
Ainsworth	Carolus
Ainsworth	Edward
Ainsworth	Guilelmus
Ainsworth	Henry
Ainsworth	Samuelis
Ainsworth	Willmus
Ainy	John
Airay	Christopherus
Airay	Henry
Airay	Ricardus
Aires	Joseph
Airey	Joseph
Airey	Thomas
Airey	William
Airson	John
Airson	Thomas
Airton	Edvardus
Aiscough	Henricus
Aish	Fidelis
Aish	Wilhelmus
Aiskew	John
Aisley	johannes
Aked	William
Akehurst	Alexander
Akehurst	Pell
Akeroid	Rogerus
Akeroide	Rogerus
Akroyd	Thomas
Akyns	Henry
Alablaster	Willimus
Alanson	Edvardi
Alanson	James
Alanson	Joseph
Alanson	Unknown
Alban	Thomas
Alberry	Johannes
Albery	Johannes
Albright	Rob'tus
Albright	Willielmus
Alchorne	Carolus
Alchorne	Gulielmi
Alchorne	Willimi
Alcock	Charles
Alcock	Christopher
Alcock	Johannes
Alcock	Johes
Alcock	John
Alcock	Laurence
Alcock	Laurentius
Alcock	Peter
Alcock	Petri
Alcock	Robert
Alcock	Thomas
Alcock	Wiliam
Alcock	William
Alcock	Willimus
Alcocke	Edwardus
Alcocke	Gulielmi
Alcocke	Laurence
Alcocke	Laurentius
Alcocke	Lawrentius
Alcocke	Williami
Alcocke	Willielmus
Alcockson	Humphrey
Alcok	Thomas
Aldcroft	Charles
Alden	Henricus
Alden	Thomas
Aldenbrooke	Edvardus
Alder	Brianus
Alder	Gulielmus
Alderman	Franciscus
Alderne	Daniel
Alderne	Franciscus
Alders	Jacobus
Alders	James
Aldersey	Samuel
Alderson	Barnabas
Alderson	Christopher
Alderson	George
Alderson	Jacobus
Alderson	Jonathan
Alderson	Joseph
Alderson	Martin
Alderson	Richardi
Alderson	Robertus
Alderson	Samuelis
Alderson	William
Alderston	Johannes
Aldesley	Mark
Aldey	Edward
Aldham	Joannis
Aldhouse	Alleyn
Aldington	William
Aldirch	William
Aldred	Henricus
Aldred	Johannes
Aldred	John
Aldred	Thomas
Aldredde	Henricus
Aldrich	Charles
Aldrich	Henry
Aldrich	Stephen
Aldrich	Steven
Aldrich	Thomas
Aldrich	William
Aldriche	Richardus
Aldriche	Thomas
Aldridge	Joseph
Aldridge	Robertus
Aldridge	Willimus
Aldritch	George
Aldrith	Jacobi
Aldrydge	Thoms
Aldus	Glielmi
Aldus	Samuelis
Aldwiche	Simon
Aldworth	Johannes
Aldworth	John
Aldworth	Nathanael
Aldworth	Thomas
Aldy	Thome
Aleby	Willelmi
Alen	Edmundus
Alen	Johannes
Alen	Johannis
Alen	John
Alen	Ricardus
Alen	Richard
Alen	Robertus
Alen	Thomas
Alen	Thome
Alenson	Edwardi
Alenson	Johannis
Alesbury	Thomas
Alesope	John
Alestow	William
Alestree	
Alestree	Thomas
Alexander	Francis
Alexander	Franciscus
Alexander	Gulielmi
Alexander	Johannis
Alexander	John
Alexander	Joseph
Alexander	Josephi
Alexander	Leonardus
Alexander	Matthew
Alexander	Maurice
Alexander	Peter
Alexander	Petrus
Alexander	Richardi
Alexander	Robertus
Alexander	Thomas
Alexander	unknown
Alexander	William
Alexander	Willus
Alexandre	Robertus
Aley	Arthur
Aleyn	Edmund
Aleyn	Egidius
Aleynson	Edwardi
Alfield	Ricardus
Alford	Henry
Alford	John
Alford	Ricardus
Alford	Samuel
Alford	Theophili
Alford	Thomas
Alford	Will'mus
Alforth	Johannis
Alfounder	Robertus
Alfredby	Carolus
Algood	Benjamini
Algood	Major
Alicock	
Alicock	Walter
Alington	Henry
Alington	William
Alison	Archibald
Alix	Petri
Alix	Petrus
Alkin	John
Allabaster	Willimus
Allablaster	
Allain	Henrici
Allan	Johannes
Allan	Thomas
Allanson	Cuthbert
Allanson	Dennis
Allanson	Edward
Allanson	George
Allanson	Robert
Allanson	William
Allason	John
Allason	Thomas
Allatson	Willimus
Allbright	Gulielmus
Allcock	Thomas
Alldrege	Ricardus
Alldwyn	Anthony
Alleine	Jonathan
Allen	
Allen	Aegidius
Allen	Ashurst
Allen	Bennett
Allen	Carolus
Allen	Charles
Allen	Cuthbert
Allen	Cuthbert
Allen	David
Allen	David Bird
Allen	Davidus
Allen	Edmundi
Allen	Edmundus
Allen	Edwardus
Allen	Fiffield
Allen	Fified
Allen	Fifield
Allen	George
Allen	Georgii
Allen	Georgius
Allen	Gualterus
Allen	Guilielmus
Allen	Gulielmus
Allen	Henrici
Allen	Henricus
Allen	Henry
Allen	Hugh
Allen	Jacobi
Allen	Jacobus
Allen	James
Allen	Jhannes
Allen	Johannes
Allen	John
Allen	John Francis
Allen	John Taylor
Allen	John Towers
Allen	John Ward
Allen	Joseph
Allen	Joshua
Allen	Laugharne
Allen	Loder
Allen	Matheus
Allen	Mattheus
Allen	Matthew
Allen	Richard
Allen	Robert
Allen	Roberti
Allen	Robertus
Allen	Simon
Allen	Stephen
Allen	Symon
Allen	Thomas
Allen	Timothy
Allen	Wilhelmus
Allen	William
Allen	William Birkett
Allen	Williams
Allen	Willmus
Allen Jones	William
Allenby	John
Allenbye	Robertus
Allens	Henrici
Allenson	Edward
Allenson	Gilbert
Allenson	Jacobi
Allenson	Johannes
Allenson	Marmaducus
Aller	Thomas
Allerton	Johannes
Allerton	Robert
Alleston	Willimus
Allestree	Carolus
Allestree	Charles
Allestree	Ricardus
Allestree	Richard
Allestrey	Thomas
Allet	Bryan
Allett	Brian
Allexander	Matthew
Alley	Jerome
Alley	Rogerus
Alley	William
Alleyn	Abrahamus
Alleyn	Egidius
Alleyn	George
Alleyn	Henricus
Alleyn	Richard
Alleyn	Simon
Alleyn	Thomas
Alleyne	John
Alleyne	Richard
Alleyne Barker	William
Allfounder	Robert
Allfree	Edward Mott
Allgood	Robert
Allibaster	Thome
Allie	P.
Allie	Rogerus
Allin	Petrus
Allin	Simon
Alline	Thomas
Allington	Johannes
Allington	John
Allington	Robertus
Allington	Unknown
Allinson	Anthony
Allinson	John
Allison	Johannes
Allison	John
Allison	Richardi
Allison	Richardus
Allison	unknown
Allison	William
Alliston	Edwardus
Alliston	not given
Allix	Peter
Allix	Petri
Allix	Petrus
Allix	Richard Wager
Alllen	Charles
Allmarke	Ricardus
Allon	Samuel
Allot	Edwardi
Allot	Robert
Allott	Bryan
Allott	Francis
Allott	John
Allott	Robert
Allott	Roberti
Allott	Robertus
Allport	Joseph
Allport	Josiah
Allridge	Robertus
Allsop	Charles
Allsop	Thomas
Allsop	William
Allsopp	Charles
Allsopp	William Browne
Allstone-Warren	Thomas
Allumbrig	blank
Allwin	Robertus
Allyn	Abraham
Allyn	Robertus
Allyne	Henricus
Almer	Theophili
Almon	Thomas
Almond	Anthony
Almond	Carolus
Almond	George
Almont	Robertus
Alney	Richard
Alnred	Brianus
Alnwick	Arthurus
Aloid	Thomas
Alphen	Edmundus
Alpin	Thomas
Alport	Gulielmus
Alread	Willimus
Alred	Edmundus
Alredd	Christopherus
Alridge	Reginaldus
Alrington	Robertus
Alsager	Samuel
Alsop	Antonius
Alsop	Georgius
Alsop	Johannes
Alsop	Josiae
Alsop	Josias
Alsop	Nathaniel
Alsop	Nathanielis
Alsop	Thomas
Alsop	William
Alsope	Johannes
Alsopp	Georgii
Alsopp	Johannes
Alsopp	Vincent
Alston	
Alston	Carolus
Alston	Edvardi
Alston	Edward
Alston	Philip
Alston	Richard
Alston	Samuel
Alston	Thomas
Alston	Vere John
Alston	William
Alstone	Samuel
Alt	Just
Altham	James
Altham	Michael
Altham	Michaelis
Altham	Roge
Altham	Roger
Altham	Rogeri
Altham	Rogerus
Altham	Thomas
Alton	George
Alty	John
Alvey	Richard
Alvey	Yeldredi
Alvis	Andrew
Alwell	Thome
Alwin	Robert
Alwood	Johannes
Alwyn	Ricardi
Alynge	William
Alyngton	Robertus
Alynn	Edmundus
Alyson	unknown
Alyson	Willelmi
Alzak	Gulielmus
Amadis	Richardus
Ambler	Brianus
Ambler	George
Ambler	Johannes
Ambler	Johannis
Ambros	Elizei
Ambrose	Daniel
Ambrose	Elisha
Ambrose	Elizeus
Ambrose	Henricus
Ambrose	Isaac
Ambrose	not given
Ambrose	Richard
Ambrose	Richardus
Amburst	George
Amedley	James
Amerie	Anthonius
Ames	Charles
Ames	Petrus
Ames	Richard
Ames	Thomas
Ames	unknown
Ames	William
Amherst	Galfridus
Amhurst	Galfridus
Amiand	Daniel
Amis	Charles
Amis	Thomas
Amler	Thomas
Ammyand	Thomas
Amney	Daavid Rodney
Amphlett	Johannes
Amphlett	John
Amphlett	Joseph
Amphlett	Martin
Amphlett	Richard Holmden
Ampleforth	William
Amy	Georgius
Amy	John
Amyand	Thomas
Amyands	Thomas
Amyas	Francisci
Amyas	Johannis
Amyas	John
Amyas	Thomae
Amyce	Georgius
Amye	Henry
Amyes	Richard
Anby	Johannis
Ancell	James
Ancketill	Henry
Ancketyll	Edwardus
Anckletill	Edwardus
