Surname	Forename
Aglionbye	Edvardus
Agnasholde	Richardus
Agnel	Roman
Agnew	Andrew
Agutter	William
Ahier	John Thomas
Ailes	Brian
Ailesbury	Gulielmus
Ailiffe	Guilielmus
Ailmer	John
Ainge	Joseph
Ainge	Samuel
Ainger	Thomas
Ainger	William
Ainscough	Thomas
Ainslie	George
Ainslie	Gilbert
Ainslie	Henry Ford
Ainsworth	Edward
Ainsworth	George
Ainsworth	Guilelmus
Ainsworth	Henry
Ainsworth	John
Ainsworth	Samuel
Ainsworth	William
Ainy	John
Airay	Adamus
Airay	Christophorus
Airay	Henricus
Airay	William
Aires	Petrus
Airey	John
Airey	Philip
Airson	John
Airson	Thomas
Airson	William
Airton	Edward
Airton	Robert
Aisgill	Josua
Aish	Faithfull
Aish	Robertus
Aish	William
Aishe	Richardus
Aishley	Thomas
Aishton	Peter
Aiskett	Johannes
Aiskew	John
Aiskwith	George
Aislabie	William
Aislabie	William James
Aisley	John
Aisley	Thomas
Aitchison	David
Aitkens	Robert Ellis
Aked	William
Akehurst	Alexander
Akers	Ricardus
Aketon	Johannes
Akyns	Henry
Alablaster	William
Alaige	Chailes
Alama	Henry
Alambrige	Nicholas
Alanby	Robertus
Alanson	Gilbert
Alanson	Robert
Alasden	William
Albart	Johannes
Albert	Joseph
Albert	Nathaniel
Albert	Thomas
Albery	John
Albin	Christopher
Albord	Thomas
Albright	Robert
Albright	William
Albright	Willmus
Albrighte	John
Albrighte	Wilhelmus
Alby	Thomas
Albyn	John
Alcap	Johannes
Alcetur	John
Alchin	George
Alchon	Edward
Alchorne	Charles
Alcock	Charles
Alcock	Christopher
Alcock	Edwin
Alcock	Johannes
Alcock	John
Alcock	John [Price]
Alcock	Richard
Alcock	Robert
Alcock	Thomas
Alcock	Thurstan
Alcock	Wiliam
Alcock	William
Alcocke	Henry
Alcocke	Humfrey
Alcocke	Jo:
Alcocke	John
Alcocke	Laurentius
Alcocke	Peter
Alcocke	Robert
Alcocke	Thomas
Alcockson	Humphrey
Alcok	William
Alcoke	John
Alcort	Edwin
Alcroft	Charles
Aldam	John
Aldcroft	Charles
Aldem	John
Alden	George
Alder	Brian
Alder	Edward Thomas
Alder	Gilbert
Alder	Johannes
Alder	Saint John
Alderley	Arthur
Alderley	Robert
Alderman	Francis Charles
Aldern	Franciscus
Alderne	Daniel
Aldersey	Samuel
Alderson	Christopher
Alderson	Edmund
Alderson	George
Alderson	John
Alderson	Jonathan
Alderson	Joseph
Alderson	Martin
Alderson	Richard
Alderson	Robert
Alderson	Samuel
Alderson	Thomas
Alderson	William
Alderston	John
Aldertone	Geoffrey
Aldewell	Willimus
Aldeworthe	John
Aldey	Eadwardus
Aldey	Johannes
Aldey	Thomas
Aldham	John
Aldhouse	Alleyn
Aldhouse	Stephen
Aldinson	Willimus
Aldisworth	James
Aldred	Jacobus
Aldred	John
Aldred	Thomas
Aldrich	Charles
Aldrich	Franciscus
Aldrich	George
Aldrich	Henry
Aldrich	Jacobus
Aldrich	Johannes
Aldrich	Roger
Aldrich	Simon
Aldrich	Stephen
Aldrich	William
Aldriche	Robert
Aldriche	Thomas
Aldridge	James
Aldridge	John
Aldridge	Joseph
Aldridge	Richard
Aldrige	Reginald
