clerSurn	clerFore
Cartwright	Charles
Cartwright	Christopher
Cartwright	Edmund
Cartwright	Edvardus
Cartwright	Edward
Cartwright	Geo.
Cartwright	Georgius
Cartwright	Guilielmus
Cartwright	Gulielmus
Cartwright	H.A
Cartwright	Hamelett
Cartwright	Hamelettus
Cartwright	Hamlette
Cartwright	Henry Antrobus
Cartwright	Homfridus
Cartwright	Hugo
Cartwright	Hugonis
Cartwright	James Boardman
Cartwright	James Cartwright
Cartwright	Joannes
Cartwright	Johannes
Cartwright	Johem
Cartwright	Johes
Cartwright	John
Cartwright	Joseph
Cartwright	Laurence
Cartwright	Milo
Cartwright	Nicholas
Cartwright	Nicholaus
Cartwright	not given
Cartwright	Richard
Cartwright	Richard
Cartwright	Richard Betton
Cartwright	Richard Bitton
Cartwright	Richardus
Cartwright	Robert
Cartwright	Robert David
Cartwright	Theodore John
Cartwright	Thomas
Cartwright	William
Cartwright	William Henry
Cartwright	Willimus
Cartwrighte	Joannes
Cartwrighte	John
Cartwrighte	Laurence
Cartwrighte	Thomas
Cartwrighte	William
Cartwryght	Robert
Cartwryght	Wyllyam
Cartwrythe	Johannes
Caruell	William
Carus	Bartholomeus
Carus	Christopherus
Carus	Wiliam
Carus	William
Carus	Williams
Carus	Willielmus
Carus	Willmus
Carvanell	Alexandder
Carvanell	Alexander
Carve	Robert
Carver	
Carver	Charles
Carver	George
Carver	Gulielmus
Carver	Henry
Carver	James
Carver	Jeremiah Wolsey
Carver	Johannes
Carver	John
Carver	Marmaduke
Carver	Philip
Carver	Philippum
Carver	Thomas
Carver	William
Carver	William James
Carvile	Henry
Carvile	John
Carvissar	Willimus
Carwarden	Thomas
Carwardin	Thomas
Carwardine	Charles William
Carwardine	Daniel
Carwardine	John
Carwardine	John Bryan
Carwardine	Not Given
Carwardine	Thomas
Carwardyn	Thomas
Carwardyne	Thomas
Carwell	Edward
Carwen	William
Carwithen	Charles
Carwithen	George Terry
Carwithen	John
Carwithen	John Bayley Somers
Carwithen	John Bayly Somers
Carwithen	William
Carwithen	William Henry
Carwycke	Willimus
Cary	Briggs
Cary	Charles
Cary	Charles Thomas
Cary	Fr: Hen:
Cary	Francis Henry
Cary	Franciscus Hen:
Cary	Franciscus Henricus
Cary	Franciscus- Henricus
Cary	George
Cary	Georgius
Cary	Henry
Cary	Henry Francis
Cary	HF
Cary	Jacobi
Cary	Jacobus
Cary	James
Cary	James Walker
Cary	James Walter
Cary	Johannes
Cary	John
Cary	John Henry Spelman
Cary	John Penniston
Cary	Mordecaeus
Cary	Mordecai
Cary	Mordecaih
Cary	Mordecajus
Cary	Nathaniel
Cary	Peniston
Cary	Robert
Cary	Robertus
Cary	Thomas
Cary	Walterus
Cary	William
Caryar	Myles
Carye	Johannes
Caryer	Anthonius
Caryer	Benjamin
Caryer	Ricardus
Caryer	Richard
Caryer	Robert
Caryer	Robertus
Caryl	Gulielmus
Caryl	Linford
Caryl	Lynford
Caryl	Timothei
Caryl	Timotheus
Caryl	unknown
Caryll	Carolus
Caryll	Johannes
Caryll	Richardus
Caryll	Thomas
Caryll	Timotheus
Caryngton	Thomas
Caryor	Robertus
Caryot	Georgius
Carytas	Ricardus
Cas	Thomas
Casa	Johannes
Casa Major	Johannes
Casanbon	Henricus
Casanbon	Mericus
Casanbone	Mericus
Casar	Johannes
Casar	Thomas
Casaubon	Maurice
Casaubon	Mekieus
Casaubon	Mercike
Casaubon	Meric
Casaubon	Merici
Casaubon	Mericius
Casaubon	Merick
Casaubon	Merico
Casaubon	Mericus
Casberd	Baylis
Casberd	John
Casberd	John Robert
Casberd	John Thomas
Casberd	Joseph
Casberd	Josephus
Casborne	John
Casborne	John Spring
Casborne	Walter John Spring
Casbourne	John
Casburne	John
Casburne	John Spring
Case	Andreas
Case	blank
Case	George
Case	Georgius
Case	Henry
Case	Isaacus
Case	Isham
Case	Jacobus
Case	James
Case	Johannes
Case	John
Case	Josephus
Case	Lawrencius
Case	not given
Case	Thomas
Case	Thomas
Case	Thomas Wilmot
Case	Unknown
Case	Willelmus
Case	William
Case	Willimus
Case	Willmus
Caselegh	Georgius
Caseleigh	Samuel
Caselighe	Johannes
Casemore	William
Caser	Richard
Caser	Thomas
Caser alias Webb	Richardus
Cash	John
Cash	Ricardus
Cashe	Laurencius
Cashley	Thomas
Caske	George
Caskin	Nicholaus
Caskyn	Nicholaus
Caskyne	Nicholaus
Caslake	George
Caslin	Thomas
Cason	Henricus
Cason	Henry
Cason	Nicholas
Cass	Eustace
Cassan	Stephen Hyde
Cassanbon	Meric
Casse	Adnrew
Casse	Alexandri
Casse	Andreae
Casse	Andreas
Casse	Andrew
Casse	Edmundus
Casse	Johannes
Casse	Johannis
Casse	John
Casse	Richardus
Casse	Samuel
Casse	Thomas
Casse	Toby
Casse	William
Cassels	Andrew
Cassemore	Ricardus
Cassie	Joannes
Cassier	Richard
Cassier [= Cayzer, Cazer]	Richard
Casson	Edward
Casson	Ferdinando
Casson	George
Casson	John
Casson	John Stephen
Casson	Jonathan
Casson	Nicholas
Casson	Nicholaus
Casson	Samuel
Casson	William
Casswell	Samuel
Cast	John
Casted	Thomas
Castel	Benjamin
Castel	Gulielmus
Castelfranc	Gideon
Castell	Abrahamus
Castell	Benjamin
Castell	Benjaminus
Castell	C
Castell	Edmund
Castell	Edmundi
Castell	Edmundus
Castell	Edwardus
Castell	George
Castell	Georgius
Castell	Gul.
Castell	James
Castell	Johannes
Castell	John
Castell	not given
Castell	Philip
Castell	Philippus
Castell	Phillip
Castell	Phillippus
Castell	Phillipus
Castell	Richardus
Castell	Robert
Castell	Robertus
Castell	Stephen
Castell	Thomas
Castell	Willelmi
Castell	Willelmus
Castell	William
Castell	Willimus
Castellton	Nicholas
Castelman	John
Castelton	Andreas
Castelton	Hugh
Caster	Jeremiah
Caster	John
Castilion	
Castilion	Johannes
Castilion	John
Castilion	Petrus
Castilleon	John
Castillin	Douglas
Castillion	Francis
Castillion	Franciscus
Castillion	illegible
Castillion	Joannes
Castillion	Johannes
Castillion	John
Castillion	Peter
Castillion	Petrus
Castillion	Thomas
Castillyan	Franciscus
Castilton	Thomas
Castle	Andreas
Castle	Denham
Castle	Edmund
Castle	Edmundo
Castle	Edmundum
Castle	Edmundus
Castle	Edward
Castle	George
Castle	Georgius
Castle	Johannes
Castle	John
Castle	Laurence
Castle	Laurence
Castle	Laurentius
Castle	Lawrentius
Castle	Phillip
Castle	Richard
Castle	Richus
Castle	Thomas
Castle	Willimus
Castlefranc	Gideon
Castlefranc	Mark William
Castlegh	George
Castlem	Johannes
Castleman	Henricus
Castleman	Henry
Castleman	John
Castleman	Wilhelmus
Castlen	Johannes
Castlessank	Gideon
Castlethwaite	Matthew
Castleton	
Castleton	'Humfrey' [recte Andrew]
Castleton	Andr
Castleton	Andreas
Castleton	Andrew
Castleton	BLANK
Castleton	Edward
Castleton	Guilielmus
Castleton	John
Castleton	Lamuel
Castleton	Richardus
Castleton	Samuel
Castleton	Samuell
Castleton	Samuellus
Castleton	Willimus
Castley	James
Castley	Thomas
Castley	Timothy
Castley	Willimus
Castlin	Johannes
Castlyn	Johannes
Caston	Edmund
Caston	George
Caston	Robert
Caston	Stephen
Castrell	George
Caswall	George
Caswall	John
Caswall	Robert Clark
Caswall	Robert Clarke
Caswell	George
Caswell	Johannes
Caswell	Robert Clarke
Caswell	Samuel
Caswell	Samul
Cataline	Jonathan
Catall	Johannes
Catar	Martinus
Catcher	Robertus
Catchlove	John
Catchmayd	Gulielmus
Catchmead	Gulielmus
Catchpool	Johannes
Catchpoole	Johannes
Catchpoole	Johannis
Catchpoole	John
Catcott	Alexander
Catcott	Johannes
Catcott	unknown
Cate	Thomas
Catebie	Thomas
Cateby	Thomas
Catelin	Robert
Cateline	Jonathan
Catelyn	Laurence
Catelyn	Laurentius
Catelyn	Will
Catelyn	William
Cater	
Cater	Andreas
Cater	Andrew
Cater	Charles
Cater	Edvardus
Cater	Edward
Cater	Edwardus
Cater	George
Cater	Georgius
Cater	Georgius
Cater	Joannem
Cater	Johannes
Cater	John
Cater	Martin
Cater	Richard
Cater	Thomas
Cater	Unknown
Caterall	Edmund
Caterall	Edmundus
Caterall	Gulielmus
Caterall	Jacobus
Caterall	James
Caterall	Radulphus
Caterall	Stephen
Caterall	William
Caterall	Willimus
Caterbank	Ricardus
Caterbank	William
Caterycke	William
Cateskyn	Thomas
Cateson	Martinus
Catford	Johannes
Catford	John
Catfordus	Johannes
Cathcart	Archibald Hamilton
Cathcat	Archibald Hamilton
Cathcott	Alexander Stopford
Cathedrall	Samuel
Catheral	Sam.
Catheral	Samuel
Catherall	Edvardus
Catherall	Edwardo
Catherall	Edwardus
Catherall	not given
Catherall	Sam'll
Catherall	Samuel
Catherall	Samuelus
Catherall	William
Cathpoole	Johannes
Cathrall	Samuel
Cathren	Gulielmus
Cathrow	Edward John
Catiell	Johannes
Catlen	Willimus
Catley	Franciscus
Catlin	
Catlin	Alexander
Catlin	William
Catlin	Willielmus
Catlin	Willimus
Catlow	John Stevenson
Catlow	Jonathan
Catlow	Jonathanus
Catlow	Jonathon
Catlow	Joseph
Catlyn	Deliveranus
Catlyn	Johannes
Catlyn	Laurence
Catlyn	Nathaniel
Catlyn	William
Catlyn	Willimus
Caton	Charles
Caton	Johannem
Caton	Johannes
Caton	John
Caton	Joseph
Caton	Philip
Caton	Philippus
Caton	Richard Bewley
Caton	Thomas
Caton	W.
Catonbye	Anthonius
Cator	Charles
Cator	Philippus
Cator	Thomas
Catskin	Thomas
Catskyn	BLANK
Catstry	Walter
Catt	Johannes
Catt	John
Cattall	Johannes
Cattall	Thomas
Cattartie?	James
Cattcott	Alexander
Cattell	Thomas
Cattell	William Bacon
Catten	David
Catten	Thomas
Catten	William
Catteral	Thomas
Catterall	Gulielmus
Catterall	Joannes
Catterall	Rand:
Catterall	Randal
Catterall	Ranulphus
Catterall	Willmus
Catterell	Thomas
Catterick	Thomas
Cattermole	Arthur Henry
Cattermole	Richard
Catteskyn	Nicholaus
Catteskyn	Thomas
Cattin	Roberto
Cattle	Henricus
Cattle	Thomas
Cattley	Stephen Reed
Cattlow	George Stevenson
Cattlow	John
Cattlow	John  Stevenson
Cattlow	John Stephenson
Cattlow	John Stevenson
Cattlow	Joseph
Cattlow	Robert Stevenson
Cattlyn	William
Catton	Davidus
Catton	Johannis
Catton	Peter
Catton	Richard
Catton	Thomas
Catton als. Wylks	Peter
Cattwood	Thomas
Caucabane de Brisac	Petrus
Caudrey	John
Caudrey	Robrt
Caudrey	Zacharie
Caudwell	Gulielmus
Caudwell	John
Caudwell	William
Caue	Gulielmus
Caue	Robert
Caueley	Johanes
Caughram	Barthram
Cauham	Gascon
Cauham	Paulus
Cauhan	Gascon
Cauldwell	John
Cauley	Robertus
Caulfield	Edward Warren
Caulfield	John
Caullcroft	Johannes
Caulley	Thomas
Caulston	Gilbertus
Caulton	Gilbert
Caulvert	Robart
Caunce	Robert
Caunter	Bartholomew
Caunter	Edwardus
Caunter	John Hobart
Caunter	John Robert
Caunter	Richard McDonald
Caurden	Richard
Caurden	Richardus
Caurden	Ricus
Causabon	Meric
Causabon	Mericus
Causabon	Moricus
Causey	Thomas
Causon	Stephen
Causton	Charles
Causton	Johannes
Causton	Samuel
Causton	Thomas
Causton	Thomas Henry
Causys	Anthony
Caute	Willielmus
Cauter	Richard McDonald
Cauterell	William
Cautherley	Samuel
Cautley	George Spencer
Cautley	John
Cautley	Joshua
Cautley	Richard
Cautley	Thomas
Cautley	William
Cautley	William Grainger
Cautrel	Willimus
Cauvered	Williamus
Cave	Andreas
Cave	blank
Cave	Brian
Cave	Brianus
Cave	Charles
Cave	E J C B
Cave	E S C B
Cave	Edrus
Cave	Edward
Cave	Edward Sacheverel Cave Brown
Cave	Edward Sacheverell Cave Browne
Cave	Francis
Cave	Franciscus
Cave	Geo
Cave	George
Cave	Georgeus
Cave	Georgius
Cave	Gualterus
Cave	Gulielmi
Cave	Gulielmus
Cave	Henricus
Cave	Joannes
Cave	Johannes
Cave	Johes
Cave	John
Cave	Lawrentio
Cave	Martinus
Cave	not given
Cave	Patrick
Cave	Ricardus
Cave	Robert
Cave	Thomas
Cave	Thomas Coats
Cave	Walter
Cave	William
Cave	William Astley Cave Browne
Cave	William Augustus
Cave	Willielmus
Cave	Willimi
Cave	Wilmot
Cave	Wilmot Cave Brown
Cave	Wilmot Cave Browne
Cave ?	Henry
Cave Browne	John
Cavel	William
Cavelarius	Radulphus
Cavelerius	Radulphus
Cavell	Guilielmus
Cavell	Gulielmus
Cavell	Johannes
Cavell	Stephanus
Cavell	William
Cavell	Willimus
Cavendish	Augustus
Cavendish	James
Cavendish	Thomas
Cavendish	Thomas Smith
Cavendish	Thomas Union
Caverley	George
Caverley	Thomas
Caverley	Thomas Yale
Caverleye	Johannes
Caverly	Thomas
Cavicke	Thomas
Cavie	Alexander Joseph Lyon
Cavie	Alexander Jospeh Lyon
Cavillian'	Johannes
Cavilly	Johannes
Cavlett	Christopherus
Cavrden	Richardus
Cavyll	William
Cawardine	Charles William
Cawardine	Daniel
Cawardine	John Bryan
Cawbecke	John
Cawckwell	Johannes
Cawcott	not given
Cawcy	Anthony
Cawdell	Johannes
Cawdle	Henricum
Cawdle	Henricus
Cawdray	Danielus
Cawdray	Johannes
Cawdray	Robertus
Cawdrey	Daniel
Cawdrey	Johannes
Cawdrey	Zacharias
Cawdrie	Daniel
Cawdrie	Zacharie
Cawdrom	Johannem
Cawdron	Ebenezer
Cawdron	Johannes
Cawdron	John
Cawdry	John
Cawdry	Zacharias
Cawdrye	Robertus
Cawdrye	Zachary
Cawdwell	Joseph
Cawe	John
Cawell	Henricus
Cawen	William
Cawiere	Jacobus
Cawinter	Edwardus
Cawkequell	Johannes
Cawkewell	John
Cawkquell	Johannes
Cawkquell	John
Cawkquell	William
Cawkqwell	Johannes
Cawkwell	Willelmus
Cawle	Josiah
Cawle	Thomas
Cawley	
Cawley	Anthony
Cawley	blank
Cawley	Carolus
Cawley	Ch:
Cawley	Charles
Cawley	Daniel
Cawley	James
Cawley	Jo:
Cawley	Joannes
Cawley	Joh'es
Cawley	Johannes
Cawley	Johes
Cawley	John
Cawley	Ralph
Cawley	Robert
Cawley	Samuel
Cawley	Tho:
Cawley	Thomas
Cawley	Walrond
Cawley	William
Cawlquell	Johannes
Cawlton	Thomas
Cawly	Ralph
Cawn	Carolus
Cawne	Carolus
Cawne	Gulielmus
Cawne	John
Cawne	William
Cawne	Willielmus
Cawnte	Thomas
Cawntlowe	Thomas
Cawny	Edward
Cawood	Edvardus
Cawood	Edward
Cawood	Francis
Cawood	John
Cawood	Richard
Cawood	Richardus
Cawoode	Richardus
Cawquell	Johannes
Cawse	John (sic)
Cawsey	Edvardus
Cawsey	Edward
Cawsey	Lactantio
Cawsey	Thomas
Cawsey	William
Cawsey	Willimus
Cawseys	Anthony
Cawshis	Anthony
Cawsis	Antoniu'
Cawstey	William
Cawston	Abraham Westerman
Cawston	Mattheus
Cawsty	John
Cawsys	Anthony
Cawte	Johannes
Cawte	Willielmus
Cawthorn	Gulielmus
Cawthorn	James
Cawthorn	unknown
Cawthorne	Andrianus
Cawthorne	Edvardus
Cawthorne	Guilielmus
Cawthorne	Gulielmus
Cawthorne	Johannes
Cawthorne	Rich.
Cawthorne	Richard
Cawthorne	Richardus
Cawthorne	Unknown
Cawthorne	William
Cawthrer	Wilhelmus
Cawthrew	Gulimus
Cawton	Thomas
Cawtrell	Nicholaus
Caxwell	Charles
Cay	Anthonius
Cay	Arthurus
Cay	Charles
Cay	Jonathan
Cay	Jonathanus
Cay	Willielmus
Caye	Arthurus
Caye	Edwardus
Caye	Georgius
Caye	Robertus
Cayer	Arthurus
Cayland	James
Cayley	Arthur
Cayley	Arthuro
Cayley	Arthurus
Cayley	Digby
Cayley	Johannes
Cayley	John
Cayley	Richard
Cayley	Richardi
Cayley	Richardo
Cayley	Richardus
Cayley	Robert
Cayley	Simonis
Cayley	Thomas
Cayley	William
Cayley	Willimus
Caylie	Willimus
Cayly	Matheus
Cayly	Thomas
Caymeryn	Thomas
Caynam	John
Cayne	William
Cayno	Gulielmus
Cayno	William
Cayshe	Anthony
Caystey	Richard
Caystr	Gulhelm's
Caystr	Wylly'm
Caywall	Edwardus
Caywood	William
Cayworthe	William
Cazalet	James
Cazar	Richard
Cazer	Richard
Cazer	Richardus
Ceane	Charles Theomartyr
Ceasor	Henricus
Cebey	Edmunde
Cecil	Charles
Cecil	Philip Hastings
Cecil	Phillip Hastings
Cecil	Richard
Cecil	Richd.
Cecil	Thomas
Cecil	Walwyn
Cecil	William
Cecill	Carolus
Cecill	Thomas
Cecyll	Thomas
Cedgewycke	Thomas
Cedsham	Henry
Ceely	Thomas
Ceelye	Matthew
Celf	Richardus
Celler	Thomas
Celmer	Cristoferus
Cemmett	not given
Cemond	Charles Osmond
Cenes	Johannes
Ceney	Edmundus
Ceney	Edouardus
Ceney	Edwardus
Ceney	illegible
Ceny	Edwardus
Cerne	Petrus
Certaine	Robert
Certayne [Certen]	Robert
Certen	Robert
Certeyne	Robert
Ceruchman	Ezechiel
Cesar	Henr
Cesar	Henricus
Cesar	Henry
Cesar	Johannes
Cesar	Julius
Cest	Petrus
Cestrien	Nicolaus
Cetyto	Johannes
Cexals	unknown
Chabbert	Johannes
Chabberts	Johannes
Chace	Gamaliel
Chace	Ricardus
Chachylowe	Johannes
Chachylowe	John
Chackeley	Robert
Chackham	Thomas
Chackshott	Johannes
Chadborne	Robert
Chadborne	Willelmus
Chadburne	Robert
Chadderon	Lawrentius
Chaddersley	Richard
Chadderton	Johannes
Chadderton	Josephus
Chadderton	Lawrentius
Chadderton	Willimus
Chaddeslie	Johannes
Chaddock	Gulielmus
Chaddock	Johannes
Chaddock	not given
Chaddock	Thomas
Chaddock	William
Chaddocke	Johannes
Chaddocke	Robertus
Chaddocke	Thomas
Chade	Roger
Chaderslee	Richard
Chaderton	Alexander
Chaderton	Josephus
Chaderton	Laurencius
Chaderton	Laurentius
Chaderton	Lawrentius
Chaderton	Richard
Chaderton	Thomas
Chaderton	Willelmi
Chaderton	William
Chadesley	Richard
Chadeslye	Richard
Chadfounte	Christopher
Chadleye	Ricardus
Chadman	Thomas
Chadock	not given
Chadocke	Philippus
Chadsey	Richard
Chadsey	[not given]
Chadsley	Dan'l
Chadsley	Danel
Chadsley	Daniel
Chadsley	Dennis
Chadsley	Richard
Chadsley	Robertus
Chadwell	blank
Chadwell	Johannes
Chadwell	John
Chadwell	Julius?
Chadwell	William
Chadwick	
Chadwick	Anthony
Chadwick	Carolo
Chadwick	Carolus
Chadwick	Charles
Chadwick	Charolus
Chadwick	Daniel
Chadwick	Edward
Chadwick	Guilielmus
Chadwick	Gulielmus
Chadwick	Jacobus
Chadwick	Joannes
Chadwick	Joh
Chadwick	Johannes
Chadwick	John
Chadwick	Joseph
Chadwick	Josephus
Chadwick	Jurdanus
Chadwick	Lewis
Chadwick	Ludovicus
Chadwick	Not given
Chadwick	Richard
Chadwick	Sam
Chadwick	Sam:
Chadwick	Samuel
Chadwick	Theophilus
Chadwick	Thomas
Chadwick	Valentine
Chadwick	Valentinus
Chadwick	Will'mus
Chadwick	Will'us
Chadwick	William
Chadwick	Williamus
Chadwick	Willimus
Chadwick	Willmus
Chadwicke	Daniel
Chadwicke	Guilielmus
Chadwicke	Gulielmus
Chadwicke	illegible
Chadwicke	Jacobus
Chadwicke	James
Chadwicke	Johannes
Chadwicke	John
Chadwicke	Jonathan
Chadwicke	Josephus
Chadwicke	Joshua
Chadwicke	nil
Chadwicke	not given
Chadwicke	Richard
Chadwicke	William
Chadwicke	Willimus
Chadworth	John
Chadworthe	John
Chafe	Henry
Chafen	Richard
Chafer	Will
Chafey	John
Chaffe	Thomas
Chaffe	Willimus
Chaffee	Not given
Chaffen	John
Chaffie	Johannes
Chaffie	John
Chaffie	Willimus
Chaffin	Ricardus
Chaffin	Richard
Chaffin	Thomas
Chaffont [= Chalfont]	Tobias
Chaffrie	Willimus
Chaffy	Johannes
Chaffy	John
Chaffy	Willimus
Chaffye	Willimus
Chaffyn	Ric'us
Chaffyn	Ricardus
Chaffyn	Richardus
Chaffyn	Thomas
Chafie	Johannes
Chafie	John
Chafie	Thomas
Chafin	Thomas
Chafin	William
Chafy	John
Chafy	Thomas
Chafy	William
Chafy	William Lucas
Chafye	Willus
Chafyn	Ricardus
Chafyn	Thomas
Chafyn	William
Chaine	John
Chainock	
Chair	Richardus
Chaire	Richardus
Chaiter	not given
Chaiter	Ralph
Chakely	Robert
Chakley	William
Chalcot	Antonius
Chalcrosse	John
Chalde	Robertus
Chalder	Matheus
Chalen	John
Chalfont	Christopheri
Chalfont	Christopherus
Chalfont	Christophorus
Chalfont	Tobias
Chalfont	Toby
Chalfont	Willimus
Chalfounte	Christoferus
Chalfounte	Cristoferus
Chalfunte	Christopher
Chalie	Peter
Chalk	William Shore
Chalk	William Shove
Chalk	William Shrove
Chalkehill	Johannes
Chalkhill	Joannes
Chalkhill	Johannes
Chalkhill	Johes
Chalkhill	not given
Chalkill	Johannes
Challacomb	Robertus
Challacombe	Henricus
Challacombe	Robert
Challacombe	Robertus
Challaner	William
Challanor	Jonas
Challen	J.G.
Challen	John
Challen	John Gratwick
Challen	John Gratwicke
Challener	Georgius
Challener	Robert
Challener	Willimus
Challenor	Jonas
Challenor	Robert
Challerton	Robert
Challice	Johannes
Challice	John
Challice	Roger
Challice alias Mylford	Johannes
Challice Jnr	Roger
Challiner	William
Challinor	Guilielmus
Challinor	Jacobus
Challinor	William
Challis	Jacobus
Challis	James
Challis	Johannes
Challis	John
Challis	Martin
Challis	Martino
Challis	Martinus
Challish	Robert
Challocombe	Henricus
Challond	William
Challoner	Francis
Challoner	Franciscus
Challoner	Gulielmus
Challoner	Johannes
Challoner	Johes
Challoner	John
Challoner	Joshua
Challoner	Robert
Challoner	Thomas
Challoner	William
Challoner	Willimus
Challsfont	Christopherus
Chalmer	Jacobus
Chalmer	James
Chalmer	John
Chalmer	Nicholaus
Chalmers	Alberrt
Chalmers	Alexander
Chalmers	Archibald
Chalmers	Francis
Chalmers	Franciscus
Chalmers	Georgius
Chalmers	Henry
Chalmers	Jacobus
Chalmers	James
Chalmers	John
Chalmers	Walter
Chalmor	Nicholaus
Chaln'	Willmus
Chalner	Georgius
Chalner	Willmus
Chalnor	Johannes
Chalnor	Willmus
Chaloner	--
Chaloner	Danieles
Chaloner	Edward
Chaloner	Edwardus
Chaloner	Franciscus
Chaloner	Gulielmus
Chaloner	Henry
Chaloner	Johannes
Chaloner	John
Chaloner	Jonas
Chaloner	Jonathan
Chaloner	Jonathan
Chaloner	Ninian
Chaloner	Ninyan
Chaloner	Ralph
Chaloner	Robert
Chaloner	Theodorus
Chaloner	Thomas
Chalonor	Johes
Chaloper	Willimus
Chalpine	Johannes
Chalsworth	Joshua
Chalsworth	Nicholas
Chalton	Willus
Chalwell	Tho:
Chalwell	Thomas
Chalymort	Julianus
Chalymownt	Julianus
Chalys alias  Mylford	Johannes
Cham	Richardus
Cham	Willimus
Chamber	Anthon
Chamber	Anthonius
Chamber	Anthony
Chamber	Antonius
Chamber	Edward
Chamber	Edwardus
Chamber	George
Chamber	Georgius
Chamber	Gualterus
Chamber	Humfrey
Chamber	Jacobus
Chamber	James
Chamber	Johannes
Chamber	John
Chamber	Nicholas
Chamber	Oswaldus
Chamber	Petrus
Chamber	Ric
Chamber	Richard
Chamber	Richardus
Chamber	Robert
Chamber	Thomam
Chamber	Thomas
Chamber	Walteri
Chamber	Willielmus
Chamberes	Johannes
Chamberes	Roger
Chamberlain	
Chamberlain	Edward
Chamberlain	Edwards
Chamberlain	George
Chamberlain	George Thomas
Chamberlain	Georgius
Chamberlain	Henricus
Chamberlain	Henry Edward
Chamberlain	Henry Edwin
Chamberlain	Jacobus
Chamberlain	Johannes
Chamberlain	John
Chamberlain	Martin
Chamberlain	Martinus
Chamberlain	Richard
Chamberlain	Robertus
Chamberlain	Thomae
Chamberlain	Thomas
Chamberlain	Thomas Hughes
Chamberlain	Thoms Hughes
Chamberlain	Timotheus
Chamberlain	unknown
Chamberlain	William
Chamberlain	Willimus
Chamberlain-Cox	Thomas
Chamberlain-Coxe	Thomas
Chamberlaine	Bartholomeus
Chamberlaine	Bartholomew
Chamberlaine	Edward
Chamberlaine	George
Chamberlaine	George Thomas
Chamberlaine	Georgius
Chamberlaine	Gulielmus
Chamberlaine	Henricus
Chamberlaine	Henry
Chamberlaine	Jacobi
Chamberlaine	Jacobus
Chamberlaine	James
Chamberlaine	Johannes
Chamberlaine	John
Chamberlaine	Kirkby
Chamberlaine	Martinus
Chamberlaine	Matthaeus
Chamberlaine	Matthew
Chamberlaine	Nicholas
Chamberlaine	Nicholaus
Chamberlaine	Richard
Chamberlaine	Richardus
Chamberlaine	Robert
Chamberlaine	Robertus
Chamberlaine	Timotheus
Chamberlaine	unknown
Chamberlaine	William
Chamberlaine	Young
Chamberlan	Thomas
Chamberland	Franciscus
Chamberlane	Henricus
Chamberlane	Thomas
Chamberlayn	Georgius
Chamberlayn	Henrycus
Chamberlayn	John
Chamberlayn	Symon
Chamberlayne	
Chamberlayne	Bartholomew
Chamberlayne	Edward
Chamberlayne	Edward Francis
Chamberlayne	Edwarfd
Chamberlayne	Franciscus
Chamberlayne	George
Chamberlayne	Georgius
Chamberlayne	Gulielmus
Chamberlayne	James
Chamberlayne	Johannes
Chamberlayne	John
Chamberlayne	John
Chamberlayne	Richardus
Chamberlayne	Robertus
Chamberlayne	Symon
Chamberlayne	Thomas
Chamberlayne	unknown
Chamberlayne	William
Chamberlayne	Willimus
Chamberlayne Cox	Thomas
Chamberlayne-Coxe	Thomas
Chamberlein	Henricus
Chamberlen	Bartholomeus
Chamberlen	Bartholomew
Chamberlen	John
Chamberlen	Phillip
Chamberlen	Thomas
Chamberleyn	Henricus
Chamberleyne	Johannes
Chamberleyne	Johnis
Chamberleyne	Richard
Chamberlin	blank
Chamberlin	George
Chamberlin	Georgius
Chamberlin	Gulielmus
Chamberlin	Jacobus
Chamberlin	Johannes
Chamberlin	John
Chamberlin	Richardus
Chamberlin	Robertus
Chamberline	Henricus
Chamberline	Johannes
Chamberlyn	Franciscum
Chamberlyn	Franciscus
Chamberlyn	Henricus
Chamberlyn	not given
Chamberlyn	Philippus
Chamberlyn	Simonis
Chamberlyn	Willimus
Chambers	Andrew
Chambers	Anthonius
Chambers	Arthurus
Chambers	Barholomeus
Chambers	Bengemyn
Chambers	Blank
Chambers	Carolus
Chambers	Charles
Chambers	Charles Cornelius
Chambers	Culhb
Chambers	Cuthbert
Chambers	Cuthberti
Chambers	Cuthbertus
Chambers	Edovardus
Chambers	Edvardus
Chambers	Edward
Chambers	Edwardus
Chambers	Guilielmus
Chambers	Gul.
Chambers	Gulielmus
Chambers	Henry
Chambers	Humfredus
Chambers	Humfrey
Chambers	Humfridus
Chambers	illegible
Chambers	Jacobus
Chambers	James
Chambers	James Peterson
Chambers	Johannes
Chambers	John
Chambers	John Peter
Chambers	John Peterson
Chambers	John William
Chambers	Joseph
Chambers	Josephus
Chambers	Leonard
Chambers	Leonardi
Chambers	Leonardus
Chambers	Nathanael
Chambers	Nathaniel
Chambers	Nathaniell
Chambers	not given
Chambers	Oswaldus
Chambers	Philip Chambres
Chambers	Phillip Chambres
Chambers	Ricardus
Chambers	Richard
Chambers	Richardus
Chambers	Robert
Chambers	Robertus
Chambers	Samuel
Chambers	Samuelis
Chambers	Thomas
Chambers	William
Chambers	Willimus
Chambers jun	Josephus
Chamberts	John Peter
Chambley	John
Chambon	John
Chambre	Alan
Chambre	Charles
Chambre	Edwardus
Chambre	Georgius
Chambre	Gualterus
Chambre	Ricardus
Chambre	Richard
Chambre	Richardus
