Surname	Forenames
Golborne	William
Goldsborough	Godfrey
Goldwell	Thomas
Gooch	Thomas
Goodacre	Hugh
Goodenough	Samuel
Goodman	Godfrey
Goodrich	Thomas
Gordon	Alexander
Gordon	George
Gordon	John
Gordon	William
Gore	Hugh
Gore	William
Gough	Francis
Graham	Andrew
Graham	Archibald
Graham	George
Grave	Robert
Gray	Robert
Green	John
Green	Thomas
Greene	Thomas
Grey	Edward
Griffin	Maurice
Griffith	Edmund
Griffith	George
Griffith	Maurice
Grindal	Edmund
Grove	Robert
Gulston	William
Gunning	Peter
Guthrie	Henry
Guthrie	John
Hacket	John
Hacket	Thomas
Haliburton	George
Hall	George
Hall	Henry
Hall	John
Hall	Joseph
Hall	Timothy
Hallifax	Samuel
Hamilton	Archibald
Hamilton	Gavin
Hamilton	Hugh
Hamilton	James
Hamilton	John
Hamilton	Malcolm
Hampton	Christopher
Hanmer	John
Harcourt	Edward Venables
Hare	Francis
Harley	John
Harris	John
Harsnett	Samuel
Hartstonge	John
Hawkins	James
Hay	William
Hayter	Thomas
Heath	Nicholas
Henchman	Humfrey
Henchman	Humphrey
Henshaw	Joseph
Hepburn	Alexander
Hepburn	John
Hepburn	Patrick
Herring	Thomas
Hervey	Hon. Frederick Augustus
Heton	Martin
Heygate	James
Hickman	Charles
Hildesley	Mark
Hilsey	John
Hinchcliffe	John
Hoadly	Benjamin
Hoadly	John
Hodgkin	John
Hodson	John
Holbeach	Henry
Holbeach Rands	Henry
Holgate	Robert
Holyman	John
Honeyman	Andrew
Hooper	George
Hooper	John
Hopkins	Ezekiel
Hopton	John
Horne	George
Horne	Robert
Horsfall	John
Horsley	Samuel
Hort	Josiah
Hotham	John
Hough	John
Howard	Robert
Howden	John
Howell	Thomas
Howland	Richard
Howley	William
Howson	John
Hughes	William
Hume	John
Humphreys	Humphrey
Humphries	Humphrey
Humpston	Robert
Huntingford	George Isaac
Huntington	Robert
Hurd	Richard
Hutchinson	Francis
Hutchinson	Samuel
Hutton	Matthew
Hyde	Alexander
Ironside	Gilbert
Jackson	Charles
Jackson	William
James	William
Jebb	John
Jegon	John
Jenkinson	John Banks
Jewell	John
Jocelyn	Hon. Percy
Johnson	James
Johnson	Robert
Jones	Ambrose
Jones	Edward
Jones	George Lewis
Jones	Henry
Jones	Hugh
Jones	Lewis
Jones	Thomas
Juxon	William
Kaye	John
Kearney	John
Keene	Edmund
Kenan	Nicholas
Kenn	Thomas
Kennett	White
Keppell	Frederick
Kidder	Richard
King	Edward
King	Henry
King	John
King	Robert
King	Walker
King	William
Kirwan	Florence
Kirwan	Stephen
Kitchin	Anthony
Knight	William
Knox	Andrew
Knox	Hon. Edmund
Knox	Hon. William
Knox	Thomas
Kyle	Samuel
Lacy	Hugh
Lake	Arthur
Lake	John
Lamb	Andrew
Lambe	Robert
Lambert	Ralph
Lamplugh	Thomas
Lancaster	John
Lancaster	Thomas
Laney	Benjamin
Latimer	Hugh
Laud	William
Laurence	Richard
Laurie	Robert
Lavington	George
Law	Edmund
Law	George Henry
Law	James
Law	John
Lee	Edward
Lee	Rowland
Legge	Edward
Leighton	Robert
Leng	John
Lesley	John
Leslie	Henry
Leslie	James
Leslie	John
Leslie	Robert
Leverous	Thomas
Levinz	Baptist
Lindsay	Alexander
Lindsay	David
Lindsay	Hon. Charles Dalrymple
Lindsay	Patrick
Lindsay	Thomas
Lindsay	William
Lindsell	Augustine
Lisle	Samuel
Lloyd	Charles
Lloyd	George
Lloyd	Hugh
Lloyd	Humphrey
Lloyd	John
Lloyd	William
Loftus	Adam
Loftus	Lord Robert Ponsonby Tottenham
Long	John
Longland	John
Lowth	Robert
Lucy	William
Luxmoore	John
Luxmore	John
Lynch	John
Lynch	Roland
Lyon	William
Lyttelton	Charles
MacBrady	John
MacBrehon	Eugene
MacCarthy	Dermot
MacCawell	James
MacEachan	Ferchar
Mackenzie	Murdo
MacLean	Hector
MacLean	Roderick
MacMahon	Patrick
Madan	Spencer
Maddox	Isaac
Magee	William
Magennis	Arthur
Magennis	Eugene
Magrath	Miler
Mainwaring	Roger
Majendie	Henry William
Maltby	Edward
Man	Henry
Mann	Isaac
Manners Sutton	Charles
Manning	Thomas
Manningham	Thomas
Mansel	William Lort
Mant	Richard
Margetson	James
Markham	William
Marlay	George
Marlay	Richard
Marsh	Francis
Marsh	Herbert
Marsh	Narcissus
Martin	Anthony
Mason	George
Matthew	Tobias
Maule	Henry
Maurice	Edward
Mawe	Leonard
Mawson	Matthias
Maxwell	Hon. Henry
Maxwell	John
Maxwell	Robert
May	John
Meredith	Richard
Merriman	John
Mew	Peter
Mews	Peter
Meyrick	John
Meyrick	Rowland
Miagh	William
Middleton	Marmaduke
Milbourne	Richard
Mills	Thomas
Mitchell	David
Moigne	Thomas
Monk	James Henry
Monk	Nicholas
Monro	Alexander
Montague	George
Montague	James
Montague	Richard
Montaigne	George
Montgomery	George
Montgomery	Robert
Moore	John
More	William
Moreton	William
Morgan	Henry
Morgan	Robert
Morgan	William
Morley	George
Morley	Thomas
Morton	Thomas
Moss	Charles
Mossom	Robert
Mountain	George
Murray	George
Murray	William
Neile	Richard
Newcome	Richard
Newcome	William
Newton	Thomas
Neylan	Daniel
Nicolson	James
Nicolson	William
North	Brownlow
Nugent	Edmund
O'Beirne	Thomas Lewis
O'Brien	Turlough [Terence]
O'Brien-Arra	Murtagh [Maurice]
O'Cahan	Con [Cornelius]
O'Carolan	Hugh
O'Connor	Owen
O'Currin	James
O'Dea	Con [Cornelius]
O'Doherty	Eugene
O'Donnell	Rory
O'Ferrall	Lysach
O'Ferrall	Richard
O'Fihely	Maurice
O'Fihely	Thomas
O'Gallagher	Art [Arthur]
O'Gallagher	Redmond
O'Hart	Eugene
O'Hernan	Angus
O'Hurley	Thomas
O'Kelly	Maurice
O'Malone	Rory [Roger]
O'More	John
O'Mullaly	William
O'Nialain	John
O'Quin	Cormac
