Surname	Forename
Aderton	Richard
Adeson	Anthony
Adeworthe	Humphrey
Adey	John
Adey	John
Adey	William
Adgar	James
Adie	John
Adie	Nicholas
Adiston	Michael
Adkin	William
Adkins	
Adkins	Charles
Adkinson	Arthur
Adkyns	Willimus
Adlam	John
Adlam	William
Adlam	William
Adms	Richard
Adnams	James
Adney	George
Adnutt	Robert Thomas
Adnutt	Thomas
Adowe	Johannes
Adrian	Bartholomew
Adrian	Richard
Adye	Charles
Adye	John
Adye	Robert
Adyson	Thomas
Aelmer	John
Aeres	Joseph
Aerten	Edward
Aessop	Constantius
Aeworth	Tho
Affleck	Gilbert
Affleck	James Danby
Affleck	William
Afleck	James
Afowlle	Henry
After	John
Agar	Charles
Agar	Charles
Agar	Henry
Agar	James
Agar	John
Agar	John Ellis
Agar	Moses
Agar	Seth
Agar	William
Agas	Anthony
Agas	Daniel
Agas	Edward
Agas	Thomas
Agashan	Alexander
Agassiz	Robert
Agate	John
Agate	William
Agate	William
Agborow	Edward
Agden	Amos
Ager	Thomas
Ager alias Awcher	Clement
Aghton	Robert
Agley	blank
Aglionbie	Johannes
Aglionby	George
Aglionbye	Edvardus
Agnasholde	Richardus
Agnel	Roman
Agnew	Andrew
Agutter	William
Ailes	Brian
Ailiffe	Guilielmus
Ailmer	Johannes
Ailmer	John
Ainge	Joseph
Ainger	Thomas
Ainger	William
Ainslie	George
Ainslie	Gilbert
Ainslie	Gilbert
Ainslie	Henry Ford
Ainsworth	Edward
Ainsworth	George
Ainsworth	Henry
Ainsworth	John
Ainy	John
Airay	Adamus
Airay	Christophorus
Airay	Henricus
Aires	Petrus
Airey	John
Airson	John
Airson	Thomas
Airson	William
Airton	Robert
Aisgill	Josua
Aish	Faithfull
Aish	Robertus
Aish	William
Aish	William
Aishe	Richardus
Aishton	Peter
Aiskew	John
Aiskwith	George
Aislabie	William
Aislabie	William James
Aisley	John
Aitchison	David
Aitkens	Robert Ellis
Aked	William
Akehurst	Alexander
Akyns	Henry
Alablaster	William
Alaige	Chailes
Alambrige	Nicholas
Alanson	Gilbert
Alanson	Robert
Alasden	William
Albart	Johannes
Albert	Joseph
Albert	Nathaniel
Albert	Thomas
Albright	Robert
Albright	William
Albrighte	John
Albrighte	Wilhelmus
Alby	Thomas
Albyn	John
Alcap	Johannes
Alchin	John
Alchon	Edward
Alchorne	Charles
Alcock	Charles
Alcock	Charles
Alcock	Christopher
Alcock	Edwin
Alcock	Joh
Alcock	Johannes
Alcock	John
Alcock	John
Alcock	John
Alcock	John [Price]
Alcock	Richard
Alcock	Richard
Alcock	Robert
Alcock	Robert
Alcock	Thomas
Alcock	Thomas
Alcock	Thomas
Alcock	Thomas
Alcock	Thurstan
Alcock	William
Alcock	William
Alcocke	Henry
Alcocke	Humfrey
Alcocke	Jo:
Alcocke	John
Alcocke	Laurentius
