Surname	Forename
Buttonshaw	Thomas
Buttonshaw	Thomas
Buttrey	John
Buttry	Simon
Butts	Eyton
Butts	Robert
Butts	Robert
Butts	Robert
Butts	William
Buttwerworth	John
Buttyll	Johannes
Buxstons	Thomas
Buxton	Christopher
Buxton	Edmund
Buxton	Edward
Buxton	George
Buxton	George
Buxton	George
Buxton	George Pococke
Buxton	John
Buxton	John Henry
Buxton	Michael
Buxton	Thomas
Buxton	Thomas
Buxton	Thomas
Buxton	Thomas
Buxtons	Michael
By	Unknown
Byam	Francis
Byam	Richard Burgh
Byam	Samuel
Byam	Thomas
Byard	Johannes
Byard	Josias
Byarde	Richard
Byarde	Thomas
Byatt	William
Bybbe	John
Byckley	Thomas
Byde	John Peacock
Bydell	Francis
Bye	Deodatus
Bye	Samuel
Byerd	Nicholas
Byers	John Sparkes
Byfeild	Nathaniel
Byfeild	Richard
Byfield	Adoniram
Byfield	Alexander
Byfield	Nicholas
Bykerduke	unknown
Bylducke	Willimi
Bylducke	Willimus
Byles	John
Bylhed	Egidius
Byll	Jacobus
Byll	Nicholas
Byllinger	William
Bylstone	Leonard
Bylynge	John
Bymers	John
Bymson	William
Bynbury	Thomas
Byne	Henry
Byng	Andreas
Byng	John
Bynnes	Henry
Bynsley	Willimus
Byrcbecke	Geffrye
Byrch	blank
Byrch	Charles
Byrch	John
Byrch	William
Byrch	William Dejovas
Byrchall	Richard
Byrche	Georgius
Byrche	Gulielmum
Byrche	Nicholas
Byrche	Nicholaus
Byrche	Robertus
Byrche	Sampson
Byrche	William
Byrches	Jacobus
Byrd	Edward
Byrd	John
Byrd	John
Byrd	William
Byrd	William
Byrdall	Thomas
Byrde	Henry
Byrde	John
Byrde	Radulphus
Byrde	Robertus
Byrde	Thomas
Byrde	Thomas
Byrde	William
Byrkat	Thomas
Byrkett	George
Byrne	Henry
Byrom	George
Byrom	Joh'es
Byron	Edmund
Byron	Henry
Byron	John
Byron	John
Byron	John
Byron	John
Byron	Richard
Byron	Samuel
Byrry	George
Byrt	Walter
Byrth	Thomas
Byrum	Thomas
Byrum	William
Byseley	Willimus
Bysh	Johannes
Byshop	William
Byshopp	William
Byssell	Henry
Bythesea	George
Bythesea	Henry Frederick
Bythesea	John Lewis
Bywater	Charles
Bywater	Robert
Bywater	William
C	
Cabbell	John
Cabick	Thomas
Cable	Richard
Cackson	Eadmundus
Cacott	Franciscus
Cacott	Giles
Cacott	unknown
Cadar	Andreas
Cadbury	Simon
Caddick	Richard
Cade	Bartholomew
Cade	John
Cade	John
Cade	John
Cade	Thomas
Cade	Thomas
Cade	William
Cadecke	Robertus
Cademan	Robert
Cadinsen	John
Cadman	Jacobus
Cadman	James
Cadman	Johannes
Cadman	John
Cadman	John
Cadman	William
Cadney	Johannes
Cadogan	William Bromley
Caesar	Augustine
Caesar	Julius
Cagart	Thomas
Cage	Anthony
Cage	Charles
Cage	Cristoferus
Cage	Edward
Cage	Edward
Cage	Peter
Cage	Robertus
Caide	Henry
Cain	Richus
Caine	Thomas
Caipe	Willimus
Cairns	Thomas
Caius	Thomas
Cake	Thomas
Cakeley	Francis
Calamy	Benjamin
Calamy	James
Calcot	John
Calcot	Richardus
Calcott	 William
Calcott	Anthony
Calcott	John
Calcraft	John Neville
Caldecot	Randolph
Caldecott	William Marriott
Calden	Wilhelmus
Caldwall	William
Caldwell	George
Caldwell	John
Caldwell	John
Caldwell	Robert
Caldwell	Willielmus
Caldyr	Henry
Cale	John
Cale	Weeley
Calender	Daniel
Caley	John
Caley	John
Caley	Robert Llewellyn
Calfe	Abraham
Calfehill	James
Calfill	James
Calhoun	Thomas Gunston
Calken	Robert
Calkin	William
Calland	John
Callay	Gulielmus
Callcott	Richard
Calley	Michael
Calley	Thomas
Callice	unknown
Callie	Hugh
Callingewood	not given
Callis	Nathaneel
Callis	Robert
Callis	Samuel
Callop	Edmund
Callow	Charles James
Callow	John
Callow	Joseph
Callowe	Benjamin
Callowhill	John
Calmers	Walter
Calner	Nicholaus
Caltelage	William
Calthorp	John
Calthorpe	Henry
Calthorpe	Henry
Calthorpe	Wilhelmus
Calthrop	John
Calton	Edmund
Calton	Edward
Calton	Edward
Calton	Edward
Calton	Jacob
Calton	Thomas
Calton	Thomas
Calton	Thomas
Calton	Valentine
Caluerley	Johannes
Calver	Nicholaus
Calver	Theophilus
Calverd	Michaelis
Calverley	Ralph
Calvert	Francis
Calvert	Frederic
Calvert	George
Calvert	Johannes
Calvert	John
Calvert	John
Calvert	John
Calvert	Nicolson Robert
Calvert	Thomas
Calvert	Thomas
Calvert	Thomas
Calvert	Thomas
Calvert	William
Calverte	Christopher
Calverte	Robertus
Calye	Thomas
Cambell	Edward
Camber	
Camborne	Robert
Cambridge	George Owen
Came	John
Came	Richard
Cameran	Thomas
Cameron	Archibald Allen
Cameron	Charles
Cameron	Charles Richard
Cameron	Donald
Camfeild	Benjamin
Camidge	Charles Joseph
Camidge	Matthew
Camm	John
Camocke	Johannes
Camp	Ichabod
Campbell	Alexander Burrowes
Campbell	Archibald
Campbell	Archibald Montgomery
Campbell	Charles
Campbell	Charles
Campbell	Charles
Campbell	Colin Alexander
Campbell	Daniel
Campbell	Henry
Campbell	James Thomas
Campbell	James William
Campbell	John
Campbell	John Barnwell
Campbell	John Bassett
Campbell	Richard Robert
Campbell	Robert
Campbell	Robert
Campbell	Robert
Campbell	Robert Francis
Campean	Silvestrum
Campian	Georgius
Campion	Abraham
Campion	Joannes
Campion	John
Campion	John
Campion	John
Campion	Robert
Campion	Thomas
Campion	William
Campion	Willimo
Campleshon	Leonard
Campleshon	William
Camplin	James
Camplin	John
Camplin	John
Camplin	John
Camplin	Thomas
Camplin	Thomas
Camplin	Thomas
Camplin	Thomas
Camplin	Thomas
Camplin	Thomas
Camplin	William
Camplin	William
Camplin	William
Camplin	William
Camplin	William
Camplin	William
Campson	James Edward
Campyon	Robert
Camston	Thomas
Canaries	Jacobus
Cancellor	Willimus
Candler	John
Candwell	John
Cane	Basil
Cane	blank
Cane	Henry
Cane	Joseph
Cane	Robert
Cane	Robert
Cane	William
Canforthe	Thomas
Canham	Robertus
Canley	John
Cann	Jasper
Cannan	Horsmonden
Cannell	John
Cannell	John
Cannell	Joseph
Canner	Christopherus
Canner	George
Canning	John
Cannon	Charles
Cannon	John
Cannon	Nathaniel
Cannon	Robert
Cannon	Thomas
Cannon	Thomas
Canon	John
Canon	Thomas
Canston	Charles
Cant	Archinus
Cant	Hugh
Cant	John
Cant	William
Cant	William
Canterbery	Nicholaus
Canterell	Radulph
Cantis	John
Cantis	Mark
Cantlie	William
Cantrel	John
Cantrel	Thomas
Cantrell	Henry
Cantrell	John
Cantrell	John
Cantrell	Joseph Craddock
Cantrell	Radolph
Cantrell	Richard
Cantrell	Thomas
Cantrell	Thomas
Cantrell	William
Cantrell	William
Cantwell	Johannes
Cantwell	Robert
Caparn	John
Cape	Fidelis
Cape	Henry
Cape	Johannes
Cape	John
Cape	Jonathan
Cape	Joseph
Cape	Mathew
Cape	Robert
Cape	William
Capel	Christopher
Capel	Daniel
Capel	Samuel Richard
Capell	Gamaliel
Capell	Moses
Capell	William
Capell	William
Capenhurst	Georgius
Capon	William
Caponhurst	Nicholas
Cappe	William
Capper	Daniel
Capper	Edward
Capper	Francis
Capper	James
Capper	John Lewis
Capps	Francis
Cappur	Christoferus
Cappur	Philippus
Capron	Christopher
Capron	Henry
Car	Andrew
Car	Johannes
Car	Robertus
Car	Thomas
Carbett	Henry
Carborne	John
Card	George
Cardale	George
Cardale	George
Cardale	George Carter
Cardale	Joseph
Cardale	Joseph
Cardale	William
Cardell	Johannes
Cardell	John
Carden	Samuel
Carden	Thomas
Cardew	James Walter
Cardew	John Haydon
Cardner	John
Cardo	Andreas
Cardon	Thomas
Cardonnell	Peter
Cardu	Michaelis
Cardwell	Edward
Cardwell	Richard
Cardyne	Thomas
Care	John
Careles	Edward
Careles	Francis
Careless	Thomas
Careswall	John
Carew	George
Carew	George
Carew	Gerald
Carew	Thomas
Carew	Thomas
Carey	John
Carey	Nicholas
Carey	Thomas
Carey	Valentinus
Carey	William
Carey	William Sherlock
Cargill	Nicholas
Cargill	Richard
Cariar	Miles
Carier	Richardus
Carington	Anthonius
Carington	Francis
Carington	Gervasius
Carington	John
Carington	not given
Carington	not given
Carington	Samuel
Carinthe	Georgius
Carland	Edwardus
Carlell	Michael
Carlell	Thomas
Carles	Richard Simcoe
Carles	Richardus
Carless	Edward
Carless	Walter
Carless	William John
Carleton	Georgius
Carleton	Guido
Carleton	Hugh Casement
Carleton	John
Carleton	Lancelot
Carleton	Roger
Carleton	William
Carliel	Edward
Carlile	Henry
Carlile	Henry
Carlisle	Joseph Dacre
Carlisle	William
Carlisle	William
Carlos	James
Carlyle	Benjamin Fearnley
Carlyle	John
Carlyll	Robert
Carlyon	John
Carlyon	Thomas
Carmbrook	Thomas
Carmichael	William
Carmichael	William
Carmouls	Thomas
Carnac	Thomas Rivett
Carne	Charles
Carne	Edward
Carne	Edward
Carne	John
Carne	John
Carnet	Willimus
Carnlande	Barnabas
Carno	Johannes
Carns	Adam
Carpendale	William
Carpenhurst	Thomas
Carpenter	Alfred
Carpenter	Charles Thomas
Carpenter	David
Carpenter	Eduardus
Carpenter	Henry
Carpenter	James
Carpenter	James
Carpenter	Johannes
Carpenter	John
Carpenter	John
Carpenter	Jonathan
Carpenter	Philip
Carpenter	Ricardus
Carpenter	Richard
Carpenter	Richardus
Carpenter	Robert
Carpenter	Robertus
Carpenter	Thomas
Carpenter	William
Carpenter	William
Carpenter	William
Carpenter	William
Carpinter	Nathaniel
Carr	Alan
Carr	Anthonius
Carr	Anthony
Carr	Anthony
Carr	Anthony Thomas
Carr	Charles
Carr	Edmund
Carr	Edward Wills
Carr	George
Carr	George
Carr	George
Carr	Gulielmus
Carr	James
Carr	John
Carr	John
Carr	John
Carr	John
Carr	John
Carr	John
Carr	John Edmund
Carr	Joseph
Carr	Joseph
Carr	Nathaniel
Carr	Ralph
Carr	Richard
Carr	Richard
Carr	Richard
Carr	Richard
Carr	Robartes
Carr	Robert
Carr	Robert
Carr	Robert James
Carr	Robert Lascelles
Carr	Robertus
Carr	Robertus
Carr	Roger
Carr	Roger
Carr	Samuel
Carr	Thomas
Carr	Thomas
Carr	Thomas
Carr	Thomas
Carr	Thomas
Carr	Thomas William
Carr	unknown
Carr	unknown
Carr	William
Carr	William
Carr	William
Carr	William
Carr	William Windle
Carr	Willimus
Carre	George
Carre	Richardus
Carre	Robert
Carre	Thomas
Carre	Willimus
Carre	Willimus
Carrell	Thomas
Carrier	Anthony
Carrier	Benjamin
Carrier	Bernard
Carrier	Richard
Carrigham	George Graystock
Carrington	Caleb
Carrington	Francis
Carrington	Frederic Hamilton
Carrington	Henry
Carrington	Humfridus
Carrington	James
Carrington	John
Carrington	Robert Palk
Carrington	William Henry
Carrior	Anthonius
Carroll	Richard
Carrow	Richard
Carruthers	Robert
Carslack	Georgius
Carson	Daniel
Carson	Thomas
Carswell	Francis
Cart	Samuel
Carte	Edward
Carte	Hugo
Carte	John
Carte	Joseph
Carte	Samuel
Cartelege	William
Carter	Andrew
Carter	Arnold
Carter	Benjamin
Carter	Benjamin
Carter	Benjamin
Carter	Blacknall
Carter	Charles Frederick
Carter	Eccles James
Carter	Edmund
Carter	Edward
Carter	Edward
Carter	Edward
Carter	George
Carter	George
Carter	George
Carter	George
Carter	Georgius
Carter	Gulielmus
Carter	Gulielmus
Carter	Henry
Carter	Henry
Carter	Isaac
Carter	James
Carter	James
Carter	James
Carter	James
Carter	Jesse
Carter	Johannes
Carter	Johannes
Carter	Johannes
Carter	Johannes
Carter	Johannes
Carter	Johanni
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	John
Carter	Joseph
Carter	Joseph
Carter	Joseph
Carter	Milbourne Peter
Carter	Mosendew
Carter	Nathanael
Carter	not given
Carter	Oliver
Carter	Petrus
Carter	Philip
Carter	Richard
Carter	Richard
Carter	Richard
Carter	Richard
Carter	Richard
Carter	Richardus
Carter	Robert
Carter	Robert
Carter	Robert
Carter	Robert
Carter	Robert
Carter	Robert
Carter	Robert Willoughby
Carter	Roger
Carter	Rowland
Carter	Samuel
Carter	Samuel
Carter	Samuel
Carter	Samuel
Carter	Thomas
Carter	Thomas
Carter	Thomas
Carter	Thomas
Carter	Thomas
Carter	Thomas
Carter	Thomas
Carter	Thomas
Carter	Thomas
Carter	Thomas
Carter	Thomas Thellusson
Carter	unknown
Carter	unknown
Carter	Walter
Carter	Wilfrid
Carter	William
Carter	William
Carter	William
Carter	William
Carter	William
Carter	William
Carter	William
Carter	William
Carter	William
Carter	William Drayton
Carter	Willimo
Carteret	Elias
Carteright	John
Carterius	Moses
Cartmell	James
Cartwright	
Cartwright	Anthony
Cartwright	Charles
Cartwright	Christopher
Cartwright	Edmund
Cartwright	Edmund
Cartwright	Edmund
Cartwright	Edward
Cartwright	Guilielmus
Cartwright	Hamelett
Cartwright	Henry Antrobus
Cartwright	Humphrey
Cartwright	James Boardman
Cartwright	John
Cartwright	John
Cartwright	John
Cartwright	John
Cartwright	Joseph
Cartwright	Laurence
Cartwright	Miles
Cartwright	Nicholas
Cartwright	Richard
Cartwright	Richard
Cartwright	Richard Betton
Cartwright	Robert
Cartwright	Robert
Cartwright	Robert
Cartwright	Theodore John
Cartwright	Thomas
Cartwright	Thomas
Cartwright	Thomas
Cartwright	William
Cartwright	William
Cartwright	William Henry
Carus	Bartholomew
Carus	William
Carver	Charles
Carver	George
Carver	Gulielmus
Carver	Henry
Carver	John
Carver	Philip
Carver	Thomas
Carver	Thomas
Carwardine	Thomas
Carwithen	Charles
Carwithen	George Terry
Carwithen	John
Carwithen	William
Carwithen	William
Carwithen	William Henry
Cary	Charles
Cary	Charles Thomas
Cary	Francis Henry
Cary	Francis Henry
Cary	Georgius
Cary	Henry
Cary	Henry Francis
Cary	John
Cary	John
Cary	John
Cary	John
Cary	John
Cary	John Penniston
Cary	Robert
Cary	Robert
Cary	Robert
Cary	Robertus
Cary	Thomas
Cary	William
Cary	William
Cary	William
Cary	William
Caryl	Lynford
Caryor	Robertus
Casaubon	Isaac
Casaubon	Meric
Casberd	John
Casberd	John Robert
Casberd	John Thomas
Casberd	Joseph
Casborne	Walter John Spring
Case	George
Case	George
Case	George
Case	Isham
Case	Johannes
Case	John
Case	Josephus
Case	not given
Case	Thomas
Case	Thomas
Case	Thomas
Case	Thomas Wilmot
Case	William
Case	William
Casemore	William
Caser alias Webb	Richard
Case[-Morewood]	Henry
Cash	Richard
Cason	Nicholas
Cassan	Stephen Hyde
Casse	Adnrew
Casse	Edmund
Casse	John
Casse	William
Cassie	John
Casson	George
Casson	John
Casson	John Stephen
Casson	Jonathan
Casson	Samuel
Casson	William
Castell	Benjamin
Castell	George
Castell	James
Castellton	Nicholas
Castelman	John
Castelton	Andrew
Caster	John
Castilion	Peter
Castilleon	John
Castillion	Thomas
Castilton	Thomas
Castle	Denham
Castle	Edmund
Castle	Johannes
Castle	Johannes
Castle	Laurence
Castle	Thomas
Castle	William
Castlefranc	Gideon
Castlem	Johannes
Castleman	Henry
Castleton	Andrew
Castley	James
Castley	Thomas
Caswall	George
Caswall	John
Caswall	Robert Clark
Caswell	Johannes
Caswell	Samuel
Catar	Martinus
Catcher	Robertus
Catchmead	William
Catcott	Alexander
Catcott	Alexander Stopford
Cateby	Thomas
Catelyn	Laurence
Cater	Andrew
Cater	John
Cater	John
Cater	Thomas
Cater	Thomas
Caterall	Ralph
Caterbank	Ricardus
Caterbank	William
Catfordus	Johannes
Cathcart	Archibald Hamilton
Catherall	Edvardus
Catherall	not given
Catherall	Samuel
Catherall	Samuel
Catherall	Samuel
Catherall	William
Catherall	William
Cathpoole	John
Catley	Franciscus
Catlin	Willielmus
Caton	John
Caton	Richard Bewley
Caton	W.
Cator	Charles
Cator	Thomas
Cator	Thomas
Cattall	Thomas
Cattell	Thomas
Cattell	Thomas
Cattell	William Baron
Catten	David
Catterall	Randal
Catterell	Thomas
Catterick	Thomas
Cattin	Roberto
Cattley	Stephen Reed
Cattlow	John Stevenson
Cattlow	Joseph
Catton	Richard
Caudwell	John
Caudwell	William
Cauldwell	John
Caunter	Richard McDonald
Causton	Charles
Causton	Thomas
Causton	Thomas Henry
Cautley	George Spencer
Cautley	John
Cautley	John
Cautley	Joshua
Cautley	Richard
Cave	Brian
Cave	Charles
Cave	Edward
Cave	Edward Sacheverel Cave Brown
Cave	Francis
Cave	George
Cave	Henry
Cave	Johannes
Cave	John
Cave	John
Cave	John
Cave	John
Cave	Lawrentio
Cave	Martinus
Cave	Ricardus
Cave	Robert
Cave	Thomas
Cave	Thomas
Cave	Walter
Cave	William
Cave	William
Cave	William Astley Cave Browne
Cave	Wilmot Cave Browne
Cavell	Willimus
Cavendish	James
Cavendish	Thomas Smith [Union]
Caverly	Thomas
Cave[-Browne]	John
Cavie	Alexander Joseph Lyon
Cavlett	Christopherus
Cawckwell	Johannes
Cawdle	Henry
Cawdrey	Daniel
Cawdron	Ebenezer
Cawdron	John
Cawdrye	Robertus
Cawley	
Cawley	Charles
Cawley	Daniel
Cawley	James
Cawley	John
Cawley	Ralph
Cawley	Thomas
Cawley	Walrond
Cawne	Charles
Cawood	John
Cawood	Richardus
Cawthorn	James
Cawthorne	Edward
Cawthorne	Johannes
Cawthorne	William
Cawthorne	William
Caye	Edwardus
Caye	Georgius
Caye	Robertus
Cayley	John
Cayley	Richard
Cayley	Robert
Cayley	Thomas
Cayley	William
Cayly	Matheus
Cayne	William
Cecil	Charles
Cecil	Charles
Cecil	Phillip Hastings
Cecil	Richard
Cecil	Walwyn
Cecil	William
Cecill	Thomas
Cecill	Thomas
Celmer	Cristoferus
Ceney	Edouardus
Cexals	unknown
Ceyman	Edward
Chackshott	Johannes
Chadborne	Robert
Chaddock	John
Chaddock	Thomas
Chaddock	William
Chadocke	Philip
Chadsley	Daniel
Chadwell	John
Chadwell	John
Chadwell	William
Chadwick	Anthony
Chadwick	Charles
Chadwick	Daniel
Chadwick	Edward
Chadwick	John
Chadwick	John
Chadwick	Joseph
Chadwick	Joseph
Chadwick	Richard
Chadwick	Richard
Chadwick	Valentinus
Chadwick	William
Chadwicke	John
Chadwicke	Jonathan
Chadwicke	Joshua
Chadwicke	William
Chadworthe	John
Chafey	John
Chaffe	Thomas
Chafie	John
Chafie	John
Chafin	William
Chafy	William
Chafyn	Thomas
Chaine	John
Chainock	
Chair	Richard
Chalcrosse	John
Chalder	Matthew
Chalfont	Christophorus
Chalfounte	Cristoferus
Chalie	Peter
Chalk	William Shove
Chalkhill	Joannes
Challanor	Jonas
Challen	John Gratwick
Challener	George
Challener	Willimus
Challice	Roger
Challinor	Jacob
Challis	James
Challis	James
Challis	Martin
Challoner	Francis
Challoner	John
Challoner	William
Chalmers	John
Chalmers	Walter
Chalner	William
Chalnor	John
Chalnor	William
Chaloner	Edward
Chaloner	Johannes
Chaloner	John
Chaloner	Jonas
Chaloner	Thomas
Chalsworth	Nicholas
Cham	Richard
Cham	Willimus
Chamber	Edward
Chamber	George
Chamber	Humfrey
Chamber	James
Chamber	Robert
Chamber	Thomas
Chamber	Thomas
Chamberlain	Edward
Chamberlain	Henry Edwin
Chamberlain	James
Chamberlain	John
Chamberlain	Martinus
Chamberlain	Richard
Chamberlain	Thomas
Chamberlain	Thomas Hughes
Chamberlain	William
Chamberlaine	George
Chamberlaine	George
Chamberlaine	Henry
Chamberlaine	James
Chamberlaine	Matthew
Chamberlaine	Nicholas
Chamberlaine	Robert
Chamberlaine	Young
Chamberlan	Thomas
Chamberlayne	Edward Francis
Chamberlayne	Gulielmus
Chamberlayne	Johannes
Chamberlayne	John
Chamberlayne	John
Chamberlayne	Thomas
Chamberlayne	Thomas
Chamberlayne	Thomas
Chamberlayne	Thomas
Chamberlayne	Thomas
Chamberlayne Cox	Thomas
Chamberlen	Bartholomeus
Chamberlen	John
Chamberlin	Richardus
Chamberlin	Robertus
Chambers	Andrew
Chambers	Anthony
Chambers	Charles
Chambers	Charles
Chambers	Charles
Chambers	Charles
Chambers	Charles Cornelius
Chambers	Cuthbert
Chambers	Edward
Chambers	Edward
Chambers	Edwardus
Chambers	Gulielmus
Chambers	Henry
Chambers	Humphrey
Chambers	James
Chambers	James
Chambers	James
Chambers	James
Chambers	James Peterson
Chambers	John
Chambers	John
Chambers	John
Chambers	John
Chambers	John
Chambers	John
Chambers	Leonardus
Chambers	Nathaniel
Chambers	Philip Chambres
Chambers	Richard
Chambers	Robertus
Chambers	Robertus
Chambers	Samuel
Chambers	Thomas
Chambers	Thomas
Chambers	Thomas
Chambers	Thomas
Chambers	Thomas
Chambers	Thomas
Chambers	Thomas
Chambers	Thomas
Chambers	Thomas
Chambers	William
Chambers	William
Chambers	William
Chambers	William
Chambers	William
Chambley	John
Chambon	John
Chambre	Charles
Chambre	Richard
Chambre	Robertus
Chambre	Rowland
Chambre	Walter
Chambres	Phillip Chambres
Chambres	Richard Chambres
Chame	Thomas
Champagne	George
Champe	William
Champian	Matthei
Champion	Henry
Champion	John
Champion	John
Champion	Nicholas
Champion	Nicholaus
Champion	Nicholaus
Champion	Peter
Champnes	Charles
Champnes	Charles John
Champnes	Edward Thomas
Champnes	Johannes
Champnes	Thomas Thornton
Champnes	Thomas Weldon
Champnes	Weldon
Champneye	John
Champneys	John Weldon
Champneys	Thomas
Champneys	Thomas Philips Amian
Champneys	William Weldon
Chancellor	Ephraim
Chancey	Angel
Chancy	William
Chandler	Edward
Chandler	George
Chandler	George
Chandler	Henry
Chandler	John
Chandler	John
Chandler	John Flutter
Chandler	Richard
Chandler	William
Chandler (aka Gascoyne)	George
Chandless	Roger
Chaner	Robertus
Channing	Abraham
Chanteler	John
Chantler	Robert
Chantrell	Thomas
Chantrey	George
Chapeau	John
Chapelhow	Joseph
Chapell	John
Chapell	John
Chaplain	William
Chaplaine	Hugo
Chaplin	Charles Sutton
Chaplin	Edward
Chaplin	George
Chaplin	George Ayscoghe
Chaplin	Henry
Chaplin	Robert
Chaplin	William
Chaplin	William
Chapline	Robertus
Chaplyn	Thomas
Chapman	Abel
Chapman	Alexander
Chapman	Benedict Lawrence
Chapman	Benjamin
Chapman	Charles
Chapman	Charles John
Chapman	Christopher
Chapman	Christopher
Chapman	Drew
Chapman	Edward
Chapman	George
Chapman	George
Chapman	George
Chapman	Gulielmus
Chapman	Gulielmus
Chapman	Henry
Chapman	Isaac
Chapman	James
Chapman	James
Chapman	James
Chapman	James
Chapman	James
Chapman	Johannes
Chapman	Johannes
Chapman	Johannes
Chapman	Johannes
Chapman	Johannes
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	John Mitchell
Chapman	Jonathan
Chapman	Joseph
Chapman	Leonard
Chapman	Matthei
Chapman	Michael
Chapman	Nathaniel
Chapman	Paulus
Chapman	Petrus
Chapman	Richard
Chapman	Richard
Chapman	Richard
Chapman	Richard
Chapman	Richard
Chapman	Richard
Chapman	Richard
Chapman	Richard
Chapman	Richard
Chapman	Richard Henry
Chapman	Richardus
Chapman	Robert
Chapman	Robert
Chapman	Robert
Chapman	Robert
Chapman	Samuel
Chapman	Samuel
Chapman	Samuel Thomas
Chapman	Stephanus
Chapman	Stephen
Chapman	Thomas
Chapman	Thomas
Chapman	Thomas
Chapman	Thomas
Chapman	Thomas
Chapman	Thomas
Chapman	Thomas
Chapman	Thomas
Chapman	Thomas
Chapman	Thomas
Chapman	Thomas
Chapman	Thomas
Chapman	Walter
Chapman	Walter
Chapman	Walter
Chapman	Walter
Chapman	William
Chapman	William
Chapman	William
Chapman	William Emerson
Chapman	William Herbert
Chapman	William Sparrow
Chapman	Willimus
Chapmon	Thomas
Chappel	Henry
Chappell	Bartholomeus
Chappell	Johanni
Chappell	John
Chappell	Martin
Chappell	Roger
Chappell	William
Chappelow	Leonard
Chapple	Jonathan
Chapple	Jonathan
Chard	George William
Chard	John
Charde	Robertus
Charelton	Henricus
Charier	Beniamino
Charlat	Grigorius
Charles	Jacobus
Charles	John
Charles	John
Charles	Joseph
Charles	Samuel
Charles	Thomas
Charles	William
Charles	William
Charlesworth	John
Charlesworth	John
Charlesworth	Ralph
Charlesworth	Robert
Charlet	Thomas
Charleton	Charles
Charleton	George
Charleton	Henry
Charleton	Henry
Charleton	John Kynaston
Charleton	Robert John
Charleton	Thomas
Charleton	Thomas
Charlett	Arthur
Charlett	Arthur
Charlett	Franciscus
Charlett	Johannes
Charlewood	Charles Benjamin
Charlton	Alan
Charlton	George
Charlton	Gulielmus
Charlton	John Kynaston
Charlton	Robert Job
Charlton	William
Charman	Stephan
Charman	Stephanus
Charnelhouse	Alexander
Charneton	Thomas
Charnley	Henry
Charnley	Henry
Charnley	James
Charnley	William
Charnock	Edmund George
Charnock	James
Charnock	not given
Charnocke	Johannes
Charnocke	John
Charres	Roland
Charrington	Nicholas
Chart	John
Chartres	James
Chary	George
Chase	Gamaliel
Chase	Gamaliel
Chase	Henry
Chase	John
Chase	John
Chase	Richard
Chase	Richardus
Chase	William
Chasteney	William
Chatborie	Georgius
Chates	Thomas
Chatfeild	Stephen
Chatfeild	Thomas
Chatfield	Allen William
Chatfield	Henry
Chatfield	Robert Money
Chatham	James
Chatsworth	Nicholas
Chatterton	John
Chatterton	William
Chattres	Johann
Chaumber	Edwardus
Chauncey	Angel
Chauncey	Charles
Chauncy	Charles
Chauncye	William
Chaundeler	Edmund
Chaundler	John
Chaundler	Thomas
Chaundler	Walter
Chaundy	Edward Elton
Chaundy	John Amyatt
Chaunler	John
Chaunler	John
Chaunler	William
Chauvel	Arthur Robinson
Chavasse	Horace
Chave	Philip
Chave	Tristram
Chave	William
Chawner	Charles
Chawner	John
Chawner	William
Chayter	Ralph
Cheadle	Elias
Cheake	Robartus
Cheales	Henry
Cheales	John
Cheales	Thomas
Cheales	William
Cheales	William
Cheap	Andrew
Cheap	John
Cheast	Thomas
Check	Nicholas Mosley
Checkley	Edward
Checkley	John
Chedleton	Nicholas
Chedsey	William
Chedulton	Thomas
Cheek	Michael
Cheek	Robertus
Cheeke	Johannes
Cheeke	Robert
Cheeke	Thomas
Cheere	George
Cheere	William
Cheesborough	Joseph
Cheese	Benjamin
Cheese	Richard
Cheese	Richard
Cheesman	not given
Cheetham	John
Chekeryng	Robertus
Chelbett	Rowland
Chell	John
Chelsman	blank
Chelsum	James
Chenell	Johannes
Cheney	
Cheney	Richard
Chenney	George
Chepmell	Havilland Le Mesurier
Cherchall	unknown
Cherington	Thomas
Cherington	William
Cheriton	Charles
Cheriton	George
Cherle	Richard
Cherlton	John
Cherneley	Germanus
Chernock	Robert
Chernocke	Hugo
Chernoke	James
Cherrett	William
Cherrieholme	John
Cherrington	Thomas
Cherry	Charles
Cherry	Ric'us
Cherry	Samuel
Cherry	Thomas
Cherry	William
Cherwell	Humfridus
Chesall	William
Chese	Hugo
Chese	Roland
Cheselden	Edward
Cheselden	John
Cheselton	Thomas
Cheshire	Edward
Cheshire	Edward
Cheshire	Henry Freeman
Cheshire	James
Cheshire	Johannes
Cheshire	John
Cheshire	John
Cheshire	Richard
Cheslebury	Edward
Cheslyn	William Edward
Chesnutt	Gilbert
Chesser	Willimus
Chesshire	Richard
Chesshire	unknown
Chesshire	Willimus
Chesshyre	John Peter Henry
Chesshyre	William John
Chest	Thomas
Chester	Anthony
Chester	Anthony
Chester	Charles
