billington occurs in the waterloo-index
Pattern                 Rank	Count	Distance
billington              505	5	1
millington              406	6	2
wellington              337	37	3
pakington               330	330	5
wallington              305	5	3
billings                304	4	3
jviillington            301	1	2
billingsley             301	1	3
paddington              223	123	5
babington               216	16	4
billing                 212	12	4
pilkington              211	11	4
islington               205	5	4
ellington               205	5	3
darlington              204	4	4
burlington              203	3	4
bebbington              203	3	4
fillingham              202	2	4
wellingtonwasin         201	1	3
tollington              201	1	3
shillinglaw             201	1	4
pollington              201	1	3
pocklington             201	1	4
cullington              201	1	3
biltington              201	1	3
billinqton              201	1	3
billing-                201	1	3
billinfttonmiss         201	1	3
elkington               194	94	5
livingstone             190	90	5
lushington              172	72	5
harrington              158	58	5
washington              156	56	5
ebrington               148	48	5
livingston              143	43	5
boddington              136	36	5
waddington              134	34	5
rivington               120	20	5
worthington             118	18	5
pennington              115	15	5
addington               115	15	5
pilling                 114	14	5
barrington              113	13	5
whittington             112	12	5
collingwood             112	12	5
kington                 111	11	5
hollingshead            111	11	5
carrington              110	10	5
symington               109	9	5
sherrington             109	9	5
partington              109	9	5
kensington              109	9	5
remington               107	7	5
conington               107	7	5
warrington              106	6	5
harington               106	6	5
blessington             106	6	5
bellingham              106	6	5
allingham               106	6	5
hetherington            105	5	5
berrington              105	5	5
wilmington              104	4	4
hollingsworth           104	4	5
errington               104	4	5
bevington               104	4	5
witherington            103	3	5
watlington              103	3	4
shillings               103	3	4
portarlington           103	3	4
lavington               103	3	5
iletherington           103	3	4
hollings                103	3	5
collinge                103	3	5
charrington             103	3	5
withington              102	2	5
willing                 102	2	5
terrington              102	2	5
stillingfleet           102	2	4
skeffington             102	2	5
rippingille             102	2	5
pilling-                102	2	4
farrington              102	2	5
etherington             102	2	5
eddington               102	2	5
dorrington              102	2	5
cunnington              102	2	5
cullingworth            102	2	5
collings                102	2	5
binnington              102	2	4
arlington               102	2	4
wliittington            101	1	4
willinmstown            101	1	4
wiitulington            101	1	4
whitewillingale         101	1	4
welliljgton             101	1	4
watlingtoh              101	1	4
utibington              101	1	4
tilling                 101	1	5
tarlington              101	1	4
stirlingwilliam         101	1	4
shilling-               101	1	4
rivingtons              101	1	5
quillinan               101	1	5
pillingnot              101	1	4
pillingand              101	1	4
pilkingtou              101	1	4
paklington              101	1	4
mornington              101	1	5
milliugton              101	1	4
lusbington              101	1	4
litshington             101	1	4
lington                 101	1	4
lingtaunton             101	1	4
lilljngnton             101	1	4
keenhillingdon          101	1	4
jlillinyton             101	1	4
ilcmington              101	1	4
ilartington             101	1	4
huntington              101	1	5
hhillings               101	1	4
hetlierington           101	1	4
hakbington              101	1	4
elrington               101	1	5
ellrington              101	1	4
eglingtoun              101	1	4
edington                101	1	5
ebbington               101	1	4
driglington             101	1	4
dillingi                101	1	4
dillingborougli         101	1	4
cullingham              101	1	5
cruiserilling-          101	1	4
collingridge            101	1	5
chillingwo-tth          101	1	4
chilling-ham            101	1	4
cfillings               101	1	4
bubington               101	1	4
bonington               101	1	5
bodington               101	1	5
bivingtou               101	1	4
bilungton               101	1	4
billinj                 101	1	4
biliingt                101	1	4
bebbingtou              101	1	4
bcbbington              101	1	4
alinuriblington         101	1	4
ali-ington              101	1	4
aldington               101	1	5
abington                101	1	4
codrington              69	69	5
shilling                34	34	5
torrington              17	17	5
woffington              11	11	5
redington               10	10	5
pukington               8	8	5
pakingtox               7	7	5
mullings                7	7	5
arrington               7	7	5
willinm                 6	6	5
fakington               5	5	5
winnington              4	4	5
pakingtou               4	4	5
pafcington              4	4	5
hilling                 4	4	5
cherrington             4	4	5
beddington              4	4	5
williamcotton           3	3	5
warington               3	3	5
takington               3	3	5
spilling                3	3	5
saddington              3	3	5
pullinger               3	3	5
manekennington          3	3	5
hartington              3	3	5
godrington              3	3	5
codkington              3	3	5
coddington              3	3	5
blkington               3	3	5
yarington               2	2	5
wiuldington             2	2	5
williain-street         2	2	5
uoddington              2	2	5
titterington            2	2	5
ritington               2	2	5
pukingtou               2	2	5
pnkington               2	2	5
pakingtonm              2	2	5
pakingtonlord           2	2	5
pakingtonbart           2	2	5
pakingtok               2	2	5
pakingtoii              2	2	5
ooddington              2	2	5
newington               2	2	5
lushingtou              2	2	5
livingstono             2	2	5
living-stone            2	2	5
klkington               2	2	5
hethcrington            2	2	5
herrington              2	2	5
fitzwillinm             2	2	5
ffarington              2	2	5
elvington               2	2	5
eikington               2	2	5
covington               2	2	5
chcrrington             2	2	5
bingliam                2	2	5
bill—opinions         2	2	5
ballingall              2	2	5
zollingcr               1	1	5
yerrington              1	1	5
yarrington              1	1	5
xushington              1	1	5
xunhington              1	1	5
xiushington             1	1	5
wurrington              1	1	5
wuddington              1	1	5
worlhington             1	1	5
worihington             1	1	5
worfchington            1	1	5
woodington              1	1	5
wojjington              1	1	5
woifington              1	1	5
wohthington             1	1	5
wnshingtoti             1	1	5
wnddington              1	1	5
wldttington             1	1	5
withorington            1	1	5
wirgtington             1	1	5
winningtou              1	1	5
williunintrt            1	1	5
williuin-stroot         1	1	5
willinrastreet          1	1	5
willinotl               1	1	5
willinnis—            1	1	5
willinnirst             1	1	5
willinni-street         1	1	5
willinn                 1	1	5
willinm-stroot          1	1	5
willinm-stroob          1	1	5
willinm-streot          1	1	5
willinm-st              1	1	5
willinm-ntroot          1	1	5
willink—              1	1	5
williniu-hinrt          1	1	5
williniu                1	1	5
willinin                1	1	5
williiini               1	1	5
williiiin-              1	1	5
williamcottond          1	1	5
williainn               1	1	5
williaina               1	1	5
williain-stroet         1	1	5
williain-strcnt         1	1	5
wilkiecollins           1	1	5
widdrington             1	1	5
wbodington              1	1	5
wauhingtonnow           1	1	5
wattingtoj              1	1	5
washingtonand           1	1	5
warmington              1	1	5
waringtony              1	1	5
waringtons              1	1	5
wallingford             1	1	5
walliiigton             1	1	5
wadpington              1	1	5
waddingtou              1	1	5
waddington—           1	1	5
waddingtonin            1	1	5
waddingtonhas           1	1	5
vcnnington              1	1	5
uevington               1	1	5
uetheringtoti           1	1	5
uerrington              1	1	5
uartington              1	1	5
travelling-             1	1	5
torvington              1	1	5
tookington              1	1	5
tonnington              1	1	5
tonilins                1	1	5
tithorington            1	1	5
tcddington              1	1	5
swellinglon             1	1	5
stilllngtuet            1	1	5
stilling                1	1	5
spelling-book           1	1	5
sparlingthe             1	1	5
snsutington             1	1	5
snellingof              1	1	5
skoffingtou             1	1	5
skiffington             1	1	5
skeffingtonm            1	1	5
sherringtonmr           1	1	5
shefrington             1	1	5
shcrrington             1	1	5
sbillibeer              1	1	5
savilltouching          1	1	5
sailling                1	1	5
russell-inglis          1	1	5
rudington               1	1	5
rrvington               1	1	5
rodington               1	1	5
rlvington               1	1	5
rlkington               1	1	5
rippingillo             1	1	5
remmington              1	1	5
reddington              1	1	5
rcdington               1	1	5
quinctillian            1	1	5
quillinnn               1	1	5
puppington              1	1	5
ptikington              1	1	5
poodington              1	1	5
pokington               1	1	5
pmcington               1	1	5
pliilliniore            1	1	5
pitkington              1	1	5
pillriugton             1	1	5
pillinper               1	1	5
piilinerston            1	1	5
piddington              1	1	5
philliniore             1	1	5
phillimoketook          1	1	5
philliinoro             1	1	5
philliinore             1	1	5
pflkington              1	1	5
pfeilliinore            1	1	5
penningtony             1	1	5
penningtonof            1	1	5
penningtonin            1	1	5
penington               1	1	5
peilinggerman           1	1	5
pcllinger               1	1	5
pbillimore              1	1	5
paxingtox               1	1	5
paxington               1	1	5
pauingtoi               1	1	5
partingtons             1	1	5
parrington              1	1	5
parington               1	1	5
paltington              1	1	5
pakingtost              1	1	5
pakingtos               1	1	5
pakington—            1	1	5
pakingtonthe            1	1	5
pakingtont              1	1	5
pakingtonsir            1	1	5
pakingtonj              1	1	5
pakingtonc              1	1	5
pakingtonand            1	1	5
pakingtoet              1	1	5
pakingtob               1	1	5
pajcington              1	1	5
pahingtoin              1	1	5
pafcingtoh              1	1	5
paeington               1	1	5
padrington              1	1	5
p-akington              1	1	5
oollingwood             1	1	5
mullingb                1	1	5
morningtonand           1	1	5
mitllings               1	1	5
millinun                1	1	5
millinu                 1	1	5
lymington               1	1	5
luvington               1	1	5
luuhington              1	1	5
lusuington              1	1	5
lusriington             1	1	5
lusnington              1	1	5
lusliingtuii            1	1	5
lusiiington             1	1	5
lushingtonesq           1	1	5
lushingtonchief         1	1	5
lushingtojt             1	1	5
lushingtoh              1	1	5
lunhington              1	1	5
lullinijton             1	1	5
luhhington              1	1	5
lubhington              1	1	5
luakington              1	1	5
luahington              1	1	5
lttshington             1	1	5
lttshingtof             1	1	5
llving-stono            1	1	5
llpliinstone            1	1	5
livingstoxk             1	1	5
livingston—we         1	1	5
livingstonv             1	1	5
livingstonthis          1	1	5
livingstonk             1	1	5
livingstonein           1	1	5
livingstonebut          1	1	5
livingstokjc            1	1	5
livinghton              1	1	5
livingbtonq             1	1	5
livingbtono             1	1	5
livingatone             1	1	5
linilley                1	1	5
lilling                 1	1	5
lavingtou               1	1	5
