palmerston occurs in the waterloo-index
Pattern                 Rank	Count	Distance
palmerston              1656	1256	1
palmerstox              313	13	1
palmerstou              311	11	1
palmerstok              309	9	1
palmerstoh              309	9	1
palmerstonin            305	5	1
palmerstoit             305	5	1
palmerston—           304	4	1
palmerstonj             304	4	1
palmerstonand           304	4	1
palmerstori             303	3	1
palmerstoa              303	3	1
palmerstow              302	2	1
palmerstost             302	2	1
palmerstos              302	2	1
palmerstons             302	2	1
palmerston-             302	2	1
palmerstojt             302	2	1
palmerstoti             301	1	1
palmerstort             301	1	1
palmerstop              301	1	1
palmerstonwho           301	1	1
palmerstonwe            301	1	1
palmerstonupon          301	1	1
palmerstonthat          301	1	1
palmerstonr             301	1	1
palmerstonor            301	1	1
palmerstonnor           301	1	1
palmerstonlord          301	1	1
palmerstonian           301	1	1
palmerstoni             301	1	1
palmerstonhe            301	1	1
palmerstonhas           301	1	1
palmerstonhad           301	1	1
palmerstonat            301	1	1
palmerstom              301	1	1
palmerstokr             301	1	1
palmerstoisr            301	1	1
palmerstois             301	1	1
palmerstoii             301	1	1
palmerstoif             301	1	1
palmerstoia             301	1	1
palmerstoi              301	1	1
palmerstoet             301	1	1
palmerstobt             301	1	1
jpalmerstonas           301	1	1
falmerston              214	14	2
palmerstqn              205	5	2
palmers-ton             205	5	2
palmebston              205	105	3
palmerstbn              204	4	2
palmersto               203	3	2
pajlmerston             203	3	2
talmerston              202	2	2
palmerstpn              202	2	2
ealmerston              202	2	2
balmerston              202	2	2
valmerston              201	1	2
paslmerston             201	1	2
paltmerston             201	1	2
palmierstost            201	1	2
palmervston             201	1	2
palmerstw               201	1	2
palmersttm              201	1	2
palmersttih             201	1	2
palmerstpx              201	1	2
palmerstpvs             201	1	2
palmerstgn              201	1	2
palmerstem              201	1	2
palmerstco              201	1	2
palmerstcn              201	1	2
palmerstatv             201	1	2
palmerst-on             201	1	2
palmeriston             201	1	2
palmereston             201	1	2
palmer-ston             201	1	2
palmejrston             201	1	2
palimerston             201	1	2
pal-merstox             201	1	2
pal-merston             201	1	2
pailmerston             201	1	2
pa-lmerston             201	1	2
ger-talmerston          201	1	2
palmekston              160	60	3
palmorston              142	42	3
paxmerston              133	33	3
palmers                 133	33	4
palmeraton              130	30	3
palmeuston              127	27	3
palmeeston              126	26	3
palmehston              123	23	3
palmcrston              123	23	3
palinerston             119	19	3
palmkrston              118	18	3
palnierston             116	16	3
paiimerston             113	13	3
palrnerston             112	12	3
palraerston             112	12	3
palmbrston              112	12	3
paimerston              112	12	3
palmeiiston             111	11	3
palmersxon              107	7	3
palmereton              107	7	3
pulmerston              106	6	3
pnlmerston              106	6	3
paltnerston             106	6	3
palmerhton              106	6	3
palmerst                105	5	3
palmekstox              105	5	3
polmerston              104	4	3
palnaerston             104	4	3
paljierston             104	4	3
paliierston             104	4	3
palsierston             103	3	3
palmisrston             103	3	3
palmeustox              103	3	3
palmersfcon             103	3	3
palmernton              103	3	3
palmekstok              103	3	3
palmeitston             103	3	3
palmeestok              103	3	3
palmebstox              103	3	3
palmebstoh              103	3	3
palbierston             103	3	3
pjilmerston             102	2	3
piilmerston             102	2	3
paxmerstox              102	2	3
palxnerston             102	2	3
palnierstou             102	2	3
palmurston              102	2	3
palmrrston              102	2	3
palmicrston             102	2	3
palmerslon              102	2	3
palmersion              102	2	3
palmerflton             102	2	3
palmerbton              102	2	3
