palmerston occurs in the waterloo-index
Pattern                 Rank	Count	Distance
palmer-bton             102	2	3
palmei-ston             102	2	3
palmehstox              102	2	3
palmefston              102	2	3
palmebstost             102	2	3
palmebstok              102	2	3
palmebstojt             102	2	3
paiimerstok             102	2	3
vulmerstoii             101	1	3
pulmerstou              101	1	3
pulmerstoii             101	1	3
pttlmerston             101	1	3
pnlmerstou              101	1	3
pnlmerstonrtnd          101	1	3
pivlmerston             101	1	3
paxtmerston             101	1	3
paxmerston—           101	1	3
paxmerstonwere          101	1	3
paxmerstom              101	1	3
paximerston             101	1	3
pax-merston             101	1	3
patmerston              101	1	3
patjmerston             101	1	3
pat-merstont            101	1	3
pamerstox               101	1	3
palwerston              101	1	3
paluierston             101	1	3
paluaerston             101	1	3
paltvierston            101	1	3
paltuerston             101	1	3
paltnterston            101	1	3
paltnerstoii            101	1	3
paltmerstckn            101	1	3
palrnerstoii            101	1	3
palrcerstonix           101	1	3
palnxerstonu            101	1	3
palnoerston             101	1	3
palnerston              101	1	3
palmwrston              101	1	3
palmrstoh               101	1	3
palmorstou              101	1	3
palmorstona             101	1	3
palmorstoii             101	1	3
palmkrstok              101	1	3
palmjsrston             101	1	3
palmjgrston             101	1	3
palmijrston             101	1	3
palmicrstox             101	1	3
palmhrston              101	1	3
palmevston              101	1	3
palmeuston-             101	1	3
palmeustom              101	1	3
palmeustok              101	1	3
palmetiston             101	1	3
palmetcstost            101	1	3
palmeston               101	1	3
palmesston              101	1	3
palmeshston             101	1	3
palmerwton              101	1	3
palmerton               101	1	3
palmersuon              101	1	3
palmersron              101	1	3
palmerslmi              101	1	3
palmersiox              101	1	3
palmersfeon             101	1	3
palmersfcous            101	1	3
palmers-to              101	1	3
palmerdton              101	1	3
palmeratou              101	1	3
palmeratoii             101	1	3
palmeratoa              101	1	3
palmer-hton             101	1	3
palmer-aton             101	1	3
palmeojston             101	1	3
palmeoiston             101	1	3
palmenston              101	1	3
palmeltston             101	1	3
palmekstoxon            101	1	3
palmekstos              101	1	3
palmekstokt             101	1	3
palmek-stox             101	1	3
palmejtston             101	1	3
palmejkston             101	1	3
palmejiston             101	1	3
palmeitstoisr           101	1	3
palmehstow              101	1	3
palmehstos              101	1	3
palmeestox              101	1	3
palmeestoit             101	1	3
palmebstoxlord          101	1	3
palmebstonsaid          101	1	3
palmebstokt             101	1	3
palmebstojj             101	1	3
palmebstoij             101	1	3
palmcrstonwho           101	1	3
palmbrstox              101	1	3
palmbrstow              101	1	3
palmbrston—           101	1	3
palmbrstok              101	1	3
palmbrstoct             101	1	3
palliierstoii           101	1	3
palkerston              101	1	3
paljnerston             101	1	3
paljierstox             101	1	3
paljierstonand          101	1	3
paljeerston             101	1	3
paliuerston             101	1	3
palitierston            101	1	3
palirerston             101	1	3
palinerstoii            101	1	3
palinerstohi            101	1	3
palinerstob             101	1	3
paliiierston            101	1	3
palherston              101	1	3
palesierston            101	1	3
palaterston             101	1	3
pal-mjerston            101	1	3
pal--inerstoii          101	1	3
pakmerston-             101	1	3
pajmerston              101	1	3
paimerstox              101	1	3
paimerstori             101	1	3
paimerstoisr            101	1	3
paiimerstox             101	1	3
paiimerstoit            101	1	3
paiimerstoir            101	1	3
paiimerstoin            101	1	3
pai-merston-            101	1	3
paemerston              101	1	3
pabmerston              101	1	3
jpalmekstont            101	1	3
ipalmsrstosr            101	1	3
falmerstdn              101	1	3
balderston              101	1	4
pahnerston              54	54	4
palmkkston              9	9	4
palmkuston              7	7	4
pamierston              4	4	4
palmkhston              4	4	4
palmbbston              4	4	4
pabnerston              4	4	4
skelmersdale            3	3	4
palmkkstox              3	3	4
palmkbston              3	3	4
palmbkston              3	3	4
paunerston              2	2	4
pauherston              2	2	4
palmkiiston             2	2	4
palmickston             2	2	4
palmer-                 2	2	4
palmeksto               2	2	4
palmbuston              2	2	4
pal-mekston             2	2	4
pailmebston             2	2	4
falmcrston              2	2	4
valmkrston              1	1	4
talmekston-             1	1	4
ssmerstonwab            1	1	4
pulmersto               1	1	4
pulmeriston             1	1	4
pirfmerston             1	1	4
piiimerston             1	1	4
pidmerston              1	1	4
pdmerston               1	1	4
paxmerstgn              1	1	4
paxjwerston             1	1	4
paxherston              1	1	4
pawierston              1	1	4
pauwerston              1	1	4
pauuerston              1	1	4
pauierstos              1	1	4
pauierstok              1	1	4
patmerstpn              1	1	4
pamvierston             1	1	4
pamierstox              1	1	4
palwersto               1	1	4
paltucrstori            1	1	4
paltmehston             1	1	4
palrucrston             1	1	4
palraorston             1	1	4
palniorston             1	1	4
palmrjiston             1	1	4
palmoyston              1	1	4
palmovston              1	1	4
palmonston              1	1	4
palmmicston             1	1	4
palmmbston              1	1	4
palmlksston             1	1	4
palmkxiston             1	1	4
palmkustox              1	1	4
palmksston              1	1	4
palmkrstgn              1	1	4
palmkkstos              1	1	4
palmkjiston             1	1	4
palmkitston             1	1	4
palmkisston             1	1	4
palmkbstok              1	1	4
palmjsbston             1	1	4
palmjixiston            1	1	4
palmjhbston             1	1	4
palmjerbton             1	1	4
palmjebston             1	1	4
palmjdbston             1	1	4
palmjbbston             1	1	4
palmisuston             1	1	4
palmisustobt            1	1	4
palmiskston             1	1	4
palmisbston             1	1	4
palmicitstox            1	1	4
palmibkston             1	1	4
palmhkstow              1	1	4
palmhbston              1	1	4
palmewtoit              1	1	4
palmeustqn              1	1	4
palmer—blair          1	1	4
palmerwho               1	1	4
palmeru                 1	1	4
palmerrobert            1	1	4
palmermrs               1	1	4
palmermiss              1	1	4
palmerm                 1	1	4
palmerf                 1	1	4
palmereron              1	1	4
palmercandle            1	1	4
palmerand               1	1	4
palmerafraid            1	1	4
palmera                 1	1	4
palmer--on              1	1	4
palmer--l               1	1	4
palmen-ton              1	1	4
palmemton               1	1	4
palmekbton              1	1	4
palmejistpn             1	1	4
palmeioton              1	1	4
palmehbton              1	1	4
palmebstcwj             1	1	4
palmebkton              1	1	4
palmeb-bton             1	1	4
palmdjistom             1	1	4
palmbrstpon             1	1	4
palmbpston              1	1	4
paljisrston             1	1	4
paliuorston             1	1	4
palincrston             1	1	4
palim-rston             1	1	4
palerstbn               1	1	4
pal-mekstow             1	1	4
pal-mehstoit            1	1	4
pal-mefiston            1	1	4
pal-meeston             1	1	4
pal-meestoif            1	1	4
pal-mebstow             1	1	4
pal-mebstoisr           1	1	4
pal-mebstoif            1	1	4
pal-meb-ston            1	1	4
pal-mcrstou             1	1	4
pal-imetston            1	1	4
paknerston              1	1	4
pajuvierstoh            1	1	4
pajmerstpn              1	1	4
pajlmekston             1	1	4
pajlmbrston             1	1	4
paimerstqnsay           1	1	4
paiinerston             1	1	4
pai-iierston            1	1	4
pahuerston              1	1	4
pahtferston             1	1	4
pahnerstou              1	1	4
pahherston              1	1	4
pabherston              1	1	4
pa-lmebston             1	1	4
ialmehston              1	1	4
falmorston              1	1	4
falmkrston              1	1	4
falmeeston              1	1	4
chalmersedited          1	1	4
chalmersd               1	1	4
chalmersandrew          1	1	4
baltnerston             1	1	4
balmkrstox              1	1	4
almkrstonand            1	1	4
alderston               1	1	4
admerston               1	1	4

419 entries found in 9.35 sec
