palmerston occurs in the waterloo-index
Pattern                 Rank	Count	Distance
palmerston              1456	1256	1
palmerstox              113	13	1
palmerstou              111	11	1
palmerstok              109	9	1
palmerstoh              109	9	1
palmerstonin            105	5	1
palmerstoit             105	5	1
palmerstonj             104	4	1
palmerstori             103	3	1
palmerstoa              103	3	1
palmerstow              102	2	1
palmerstost             102	2	1
palmerstos              102	2	1
palmerstons             102	2	1
palmerston-             102	2	1
palmerstojt             102	2	1
palmerstoti             101	1	1
palmerstort             101	1	1
palmerstop              101	1	1
palmerstonwe            101	1	1
palmerstonr             101	1	1
palmerstonor            101	1	1
palmerstoni             101	1	1
palmerstonhe            101	1	1
palmerstonat            101	1	1
palmerstom              101	1	1
palmerstokr             101	1	1
palmerstoisr            101	1	1
palmerstois             101	1	1
palmerstoii             101	1	1
palmerstoif             101	1	1
palmerstoia             101	1	1
palmerstoi              101	1	1
palmerstoet             101	1	1
palmerstobt             101	1	1
falmerston              14	14	2
palmerstqn              5	5	2
palmers-ton             5	5	2
palmerstbn              4	4	2
palmersto               3	3	2
pajlmerston             3	3	2
talmerston              2	2	2
palmerstpn              2	2	2
ealmerston              2	2	2
balmerston              2	2	2
valmerston              1	1	2
paslmerston             1	1	2
paltmerston             1	1	2
palmierstost            1	1	2
palmervston             1	1	2
palmerstw               1	1	2
palmersttm              1	1	2
palmersttih             1	1	2
palmerstpx              1	1	2
palmerstpvs             1	1	2
palmerstgn              1	1	2
palmerstem              1	1	2
palmerstco              1	1	2
palmerstcn              1	1	2
palmerstatv             1	1	2
palmerst-on             1	1	2
palmeriston             1	1	2
palmereston             1	1	2
palmer-ston             1	1	2
palmejrston             1	1	2
palimerston             1	1	2
pal-merstox             1	1	2
pal-merston             1	1	2
pailmerston             1	1	2
pa-lmerston             1	1	2

70 entries found in 4.42 sec
