Pat_surn	Pat_fore
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry
Abergavenny	Henry Nevill
Abergavenny	Henry Neville
Abergavenny	John
Abergavenny	John
Abergavenny	John
Abergavenny	John
Abergavenny	Maria
Abergavenny	Maria
Abergavenny	Maria
Abergavenny	Maria
Abergavenny	Mariae
Abergavenny	Mariae
Abergavenny	Mariae
Abergavenny	Mariam
Abergavenny	Nevil
Abergavenny	Nevill
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William
Abergavenny	William Nevill
Abergavenny	William Nevill
Abergavenny	Willielmi
Abergavenny	Willielmi
Abergaveny	
Abergaveny	Maria
Abergaveny	Maria
Abergeveney	Johannes
Abergevenny	George
Abergueny	
Abervagenny	George
Abingdon	Jacobus
Abingdon	Jacobus
Abingdon	Joh'es
Abingdon	Montacutius
Abingdon	Montacutius
Abingdon	Montagu
Abingdon	Montagu
Abingdon	Montagu
Abingdon	Montagu
Abingdon	Montague
Abingdon	Montague
Abingdon	Montague
Abingdon	Montague
Abingdon	Montague
Abingdon	Montague
Abingdon	Montague
Abingdon	Montague
Abingdon	Mountague
Abingdon	Mountague
Abingdon	Mountague
Abingdon	Mountague
Abingdon	Mountague
Abingdon	William
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon	Willoughby
Abingdon, Mayor & Corporation	
Abingdon, Mayor and Burgesses	
Abingsd==don	Montagu
Abington	
Abington	Andreas
Abington	Andreas
Abington	Carolus
Abington	George
Abington	Georgius
Abington	Georgius
Abington	Joh'es
Abington	Joh'es
Abington	Johannes
Abington	Johannes
Abington	John
Abington	Thomas
Ablett	Joseph
Ablett	Joseph
Ablett	Joseph
Ablett	Joseph
Abney	Edvardus
Abney	Samuel Bracebridge
Abney	Thomas
Abney	Thomas
Aboyne	
Aboyne	
Aboyne	George
Aboyne	George
Aboyne	George
Aboyne	George
Abrahall	Johannes
Abraham	Richard
Abraham	Thomas
Abson	Samuel
Aburforth	Johannes
Aburfurth	Johannes
Aburgaveney	Henry
Aburgaveney	Henry
Aburgaveney	Henry
Aburgaveney	Henry
Aburgavenny	Edwardus
Aburgavenny	Henricus
Aburgaveny	Elizabeth
Aburgaveny	Henry
Aburgaveny	Mary
Aburgeuny	
Abyndon	Jacobus
Abyndon	Richardus
Abyngton	Thomas
Acaster	Edward
Acaster	John
Acea	Richi
Acham	Willimus
Ache	Robert
Ache	Robert
Achison	Arthur
Acklam	Willimus
Acklom	J
Ackworth	Thomas Andrew
Aclam	Willimus
Acland	Elizabeth
Acland	Elizabeth
Acland	Elizabeth
Acland	John Palmer
Acland	Peregrine Palmer Palmer
Acland	Thomas Dyke
Acland	Thomas Dyke
Acome	Georgius
Acres	Henry
Acres	Robert
Act of parliament	
Act of parliament	
Acton	Carolus
