70053	P	7028446	1001172931
70053	P	4001769	145167
70053	P	7028475	1001173034
70051	P	7024264	1158387
70051	P	1000130	192
70051	P	1000130	1159430
70051	P	7029041	1001174580
73171	P	7029041	1001174579
71161	P	7029041	1001174577
70051	P	7011071	42638
70411	N	7029382	1001175262
70101	N	7029382	1001175269
70051	P	7029382	1001175271
70051	N	7029382	1001175279
70101	P	7029436	1001175467
70051	P	7029436	1001175468
70053	P	7029428	1001175432
70053	P	7029399	1001175320
70053	P	7029346	1001175133
70053	P	7029339	1001175108
70053	P	7029311	1001175016
70053	P	7029068	1001174701
70053	U	7028831	1001174144
70053	U	7028831	1001174147
70053	P	7029908	1001177401
70049	U	7029908	1001177402
70049	P	7025903	1165091
70049	U	7026199	1166084
70049	U	7026199	1166085
70051	P	7002798	138306
70051	N	7002798	1159586
70641	N	7002798	1159586
70643	P	7002798	172566
70641	N	7002798	1795
70051	P	7024277	1158422
70051	P	7000626	181865
70431	U	7026345	1001179146
70431	U	7026345	1166607
70051	P	7024414	152853
70271	P	7024414	156575
70051	N	7029453	1001175537
70051	P	7029453	1001175535
70350	P	7029453	1001175536
70431	P	7029453	1001175536
70051	P	6005574	170893
70101	P	6005574	174142
70271	P	6005574	1001179863
70049	P	7030097	1001178103
70053	P	7030097	1001178102
70049	U	4009207	1162882
70049	U	4009207	1162881
