		52.634	52	N	38	3											1.203	1	E	12	8											4001769
		52.7	52	N	42	1											1.237	1	E	14	9											7028475
		52.6833333333333	52	N	41	0											1.25	1	E	15	0											1029609
		31.533	31	N	32												35.1	35	E	6												7029041
		31.5333	31	N	32	0											35.1	35	E	6	0											7002402
		-3.1333	3	S	8	0											-171.0833	171	W	5	0											1006029
		-2.8333	2	S	50	0											-171.6667	171	W	40	0											1007636
		47	47	N	0	0											4.5	4	E	30	0											7024264
		22.5	22	N	30	0											88.3333	88	E	20	0											7001523
		22.5333	22	N	32	0											88.3667	88	E	22	0											7018176
		22.4333	22	N	26	0											88.85	88	E	51	0											7018366
		22.4333	22	N	26	0											88.85	88	E	51	0											7029374
		46	46	N	0	0											105	105	E	0	0											1000130
		38.3167	38	N	19	0											23.3167	23	E	19	0											7011071
		25.6833	25	N	41	0											32.6667	32	E	40	0											7029382
		54	54	N	0	0											-2.7833	2	W	47	0											7027454
		46.4333	46	N	26	0											4.2667	4	E	16	0											1111940
		53.0833	53	N	5	0											-4	4	W	0	0											7026969
		52.8833	52	N	53	0											-3.8	3	W	48	0											7008048
		53.7	53	N	42												-.033		W	2	3											7029428
		53.8	53	N	48	2											-.268		W	16	6											7029399
		54.085	54	N	5	9											-.167	0	W	10	4											7029346
		53.835	53	N	50	6											-.626	0	W	37	5											7029339
		53.918	53	N	55	5											-.694		W	41	9											7029311
		53.834	53	N	50	4											-.338		W	20	2											7029068
		54.068	54	N	4	6											-.525		W	31	5											7028831
		53.6	53	N	36	0											-.4333	0	W	26	0											7027854
		53.6	53	N	36	0											-.2667	0	W	16	0											7027898
		53.6	53	N	36	0											-.2667	0	W	16	0											5000843
		53.4	53	N	24	0											-3.0833	3	W	5	0											7008158
		53.55	53	N	33	0											-1.25	1	W	15	0											7008169
		52.5	52	N	30	0											-1.9667	1	W	58	0											7008179
		53.7	53	N	42	0											-1.5833	1	W	35	0											7008170
		60.5	60	N	30	0											-1.25	1	W	15	0											7008095
		33.0167	33	N	1	0											-117.2667	117	W	16	0											2221247
		53.7833	53	N	47	0											-3.0333	3	W	2	0											1003565
		18.5	18	N	30	0											31.8333	31	E	50	0											1094353
		18.466	18	N	28	0											31.83	31	E	49	0											7029588
		46.55	46	N	33	0											8.5667	8	E	34	0											7024692
		41.027	41	N	1	39											-84.762	84	W	45	54											7029620
		41.0167	41	N	1	0											-84.75	84	W	45	0											2505932
		54.433	54	N	26												-3.05	3	W	3												7028968
		20.0167	20	N	1	0											-155.8	155	W	48	0											2025018
		20.0167	20	N	1	0											-155.6667	155	W	40	0											2747648
		52.1667	52	N	10	0											5.0833	5	E	5	0											4006745
		52.166	52	N	10												5.083	5	E	5												7029799
		43.1333	43	N	8	0											11.4833	11	E	29	0											7025560
		50.852	50	N	51	9											-.389	0	W	23	3											7030016
		50.852	50	N	51	9											-.406	0	W	24	1											6001470
		53.819	53	N	49	9											-1.406	1	W	24	0											7029852
		53.734	53	N	44	5											-1.491	1	W	29	6											7029908
		53.734	53	N	44	5											-1.491	1	W	29	6											4002247
		52.1333	52	N	8	0											-.3	0	W	18	0											7024773
		52.1333	52	N	8	0											-.3	0	W	18	0											1030535
		51.65	51	N	39												3.916	3	E	55												7029598
		51.65	51	N	39	0											3.9167	3	E	55	0											7006757
		41.9167	41	N	55	0											12.4667	12	E	28	0											7009946
		51.434	51	N	26	5											-2.491	2	W	29	0											4008171
		51.45	51	N	27	0											-2.4833	2	W	29	0											7026700
