		C	P	P		1000000	1000000
		C	P	P		7029392	1000003
		C	P	P		1000003	1000080
		C	P	P		7009760	1003460
		C	P	P		7009760	1003473
		C	P	P		7003164	1006715
		C	P	P		1003460	1007187
		C	P	P		1003460	1007191
		C	P	P		7003164	1008204
		C	P	P		7006197	1012389
		C	P	P		7003167	1043080
		C	P	P		7003167	1043117
		C	P	P		7003164	1043230
		C	P	P		1003460	1043261
		C	P	P		7003164	1043270
		C	P	P		7003166	1043289
		C	P	P		7003165	1043291
		C	P	P		7003162	1043360
		C	P	P		7003168	1043373
		C	P	P		1003473	1043381
		C	P	P		1003473	1043404
		C	P	P		7003163	1043406
		C	P	P		7003164	1043500
		C	P	P		7003166	1043506
		C	P	P		7003162	1043665
		C	P	P		7003166	1043693
		C	P	P		7003166	1043728
		C	P	P		7003168	1043776
		C	P	P		7003162	1043808
		C	P	P		7003166	1043843
		C	P	P		7006197	1043852
		C	P	P		7003167	1043854
		C	P	P		1003473	1043955
		C	P	P		7003164	1043975
		C	P	P		7003168	1043986
		C	P	P		1003460	1043996
		C	P	P		1003460	1044018
		C	P	P		7003168	1044056
		C	P	P		7003165	1044058
		C	P	P		7003166	1044060
		C	P	P		7003162	1044073
		C	P	P		1003460	1044085
		C	P	P		7003164	1044126
		C	P	P		7003166	1044204
		C	P	P		1003460	1044250
		C	P	P		7003167	1044257
		C	P	P		1003460	1044289
		C	P	P		7003162	1044293
		C	P	P		7003164	1044329
		C	P	P		1003473	1044342
		C	P	P		7003163	1044363
		C	P	P		7003165	1044378
		C	P	P		7003163	1044419
		C	P	P		7003163	1044483
		C	P	P		1003473	1044532
		C	P	P		7003166	1044568
		C	P	P		1003473	1044626
		C	P	P		1003460	1044641
		C	P	P		1003460	1044654
		C	P	P		7003163	1044669
		C	P	P		7003165	1044679
		C	P	P		1003473	1044682
		C	P	P		7003168	1044730
		C	P	P		7003163	1044749
		C	P	P		7003167	1044775
		C	P	P		1003460	1044778
		C	P	P		1007191	1044816
		C	P	P		7003167	1044983
		C	P	P		7003166	1045019
		C	P	P		7003166	1045020
		C	P	P		7003165	1045050
		C	P	P		7003167	1045051
		C	P	P		1003473	1045082
		C	P	P		7003165	1045085
		C	P	P		1003460	1045182
		C	P	P		1003460	1045211
		C	P	P		7006197	1045242
		C	P	P		7006197	1045243
		C	P	P		7006197	1045256
		C	P	P		1003473	1045258
		C	P	P		7003164	1045259
		C	P	P		1003460	1045261
		C	P	P		1003473	1045262
		C	P	P		7003165	1045265
		C	P	P		7003166	1045266
		C	P	P		7003163	1045278
		C	P	P		7003165	1045307
		C	P	P		7003167	1045466
		C	P	P		1003460	1045544
		C	P	P		7003168	1045551
		C	P	P		1003460	1045557
		C	P	P		7003166	1045563
		C	P	P		7003163	1045566
		C	P	P		7003168	1045576
		C	P	P		1003460	1045577
		C	P	P		7003166	1045582
		C	P	P		7003165	1045612
		C	P	P		1003473	1045629
