S		2009007094	1000000
S	716	9000014	1000003
S	383	9006267	1000003
S		9006722	1000003
N	accessed June 27, 2003.	2009007181	1000003
S	184	9000014	1000080
S	plates 77-80	9004779	1000080
S	627	9004802	1000080
S	767; 780	9004954	1000080
S	II, 1994	9004959	1000080
S	634-635	9004960	1000080
S	60	9004966	1000080
S	XXII, 163 ff.	9005014	1000080
S	556-559	9006267	1000080
S	298-301	9006281	1000080
S		9006303	1000080
S	II, 426 ff	9006447	1000080
S		9006449	1000080
S	I-43	9006546	1000080
S	I, 366	9006550	1000080
S	789	9006560	1000080
S		9006561	1000080
S		9006562	1000080
S	16	9006690	1000080
S	accessed 01/20/99	9006765	1000080
S	19	9006851	1000080
S		9006561	1003460
S		2009007094	1003460
S		9006561	1003473
S		2009007094	1003473
S	713	9006004	1006715
S	39	9006037	1006715
S	I, 534	9006740	1006715
S	72	9006037	1007187
S	73	9006037	1007191
S	11	9006339	1007191
S	VIII, 280	9005014	1008204
S	784	9006267	1008204
S	II, 615	9006447	1008204
S		9006561	1008204
S	165	9006037	1012389
S		9006561	1043080
S		9006561	1043117
S	13	9006037	1043230
S		9006279	1043261
S	I-8	9006541	1043261
S	15	9006037	1043270
S	I-9	9006541	1043289
S		9006561	1043291
S	19	9006037	1043360
S		9006561	1043373
S	19	9006037	1043381
S		9006561	1043404
S		9006561	1043406
S	27	9006037	1043500
S	27	9006037	1043506
S		9006561	1043665
S		9006561	1043693
S		9006561	1043728
S	I-29	9006541	1043776
S		9006561	1043808
S	39	9006037	1043843
S	39	9006037	1043852
S		9006561	1043854
S	40	9006037	1043955
S	40	9006037	1043975
S	40	9006037	1043986
S	40	9006037	1043996
S		9006561	1044018
S		9006561	1044056
S	40	9006037	1044058
S	40	9006037	1044060
S		9006561	1044073
S	41	9006037	1044085
S	41	9006037	1044126
S		9006561	1044204
S	46	9006037	1044250
S		9006561	1044257
S		9006561	1044289
S	46	9006037	1044293
S	48	9006037	1044329
S	I-38	9006541	1044342
S		9006561	1044363
S	49	9006037	1044378
S	I-94	9006541	1044419
S		9006561	1044483
S		9006561	1044532
S	65	9006037	1044568
S	66	9006037	1044626
S	67	9006037	1044641
S	67	9006037	1044654
S		9006561	1044669
S		9006561	1044679
S	68	9006037	1044682
S	70	9006037	1044730
S	70; 77	9006037	1044749
S		9006561	1044775
S	71	9006037	1044778
S	73	9006037	1044816
S		9006561	1044983
S	109	9006037	1045019
S	109	9006037	1045020
S		9006561	1045050
S		9006561	1045051
S	112	9006037	1045082
S		9006561	1045085
S	118	9006037	1045182
S	120	9006037	1045211
S	122	9006037	1045242
S	122	9006037	1045243
S	122	9006037	1045256
S	122	9006037	1045258
S		9006561	1045259
S	122	9006037	1045261
S	122	9006037	1045262
S		9006561	1045265
S	122	9006037	1045266
S	123	9006037	1045278
S	123	9006037	1045307
S	130	9006037	1045466
S	130	9006037	1045544
S		9006561	1045551
S	130	9006037	1045557
S	I-114	9006541	1045557
S	I-114	9006541	1045563
S	130	9006037	1045566
S		9006561	1045576
S	131	9006037	1045577
S		9006561	1045582
S	I-116	9006541	1045612
S	133	9006037	1045629
S	I-128	9006541	1045754
S		9006561	1045918
S	152	9006037	1045931
S		9006561	1045959
S		9006561	1045962
S		9006561	1045970
S		9006561	1045991
S		9006561	1046000
S		9006561	1046002
S	154	9006037	1046031
S	155	9006037	1046075
S	156	9006037	1046082
S		9006561	1046089
S		9006561	1046095
S		9006561	1046096
S		9006561	1046097
