	U	2009007094	1000000	0
383	U	9006267	1000003	3
716	U	9000014	1000003	138465
	U	9006722	1000003	1159543
plates 77-80	U	9004779	1000080	109
627	U	9004802	1000080	109
60	U	9004966	1000080	109
XXII, 163 ff.	U	9005014	1000080	109
556-559	U	9006267	1000080	109
	U	9006449	1000080	109
I-43	U	9006546	1000080	109
	U	9006561	1000080	109
	U	9006303	1000080	110
II, 426 ff	U	9006447	1000080	110
	U	9006449	1000080	110
	U	9006562	1000080	110
I, 366	U	9006550	1000080	138641
60	U	9004966	1000080	138642
II, 1994	U	9004959	1000080	138643
789	U	9006560	1000080	182800
298-301	U	9006281	1000080	182801
298-301	U	9006281	1000080	182802
767	U	9004954	1000080	182805
780	U	9004954	1000080	182806
634-635	U	9004960	1000080	322851
184	U	9000014	1000080	327996
16	U	9006690	1000080	1156674
16	U	9006690	1000080	1156675
accessed 01/20/99	U	9006765	1000080	1158190
19	U	9006851	1000080	1159389
	U	9006561	1003460	3625
	U	9006561	1003460	352792
	U	2009007094	1003460	182745
	U	9006561	1003473	3638
	U	9006561	1003473	352837
	U	2009007094	1003473	141375
39	U	9006037	1006715	6904
713	U	9006004	1006715	1159279
I, 534	U	9006740	1006715	1159279
72	U	9006037	1007187	7381
73	U	9006037	1007191	7385
11	U	9006339	1007191	1158789
	U	9006561	1008204	8413
VIII, 280	U	9005014	1008204	320086
II, 615	U	9006447	1008204	320087
784	U	9006267	1008204	1155247
165	U	9006037	1012389	12659
	U	9006561	1043080	43501
	U	9006561	1043117	43538
13	U	9006037	1043230	43651
I-8	U	9006541	1043261	43684
	U	9006279	1043261	315991
15	U	9006037	1043270	43693
I-9	U	9006541	1043289	43712
	U	9006561	1043291	43714
19	U	9006037	1043360	43784
	U	9006561	1043373	43797
19	U	9006037	1043381	43805
	U	9006561	1043404	43828
	U	9006561	1043406	43830
27	U	9006037	1043500	43924
27	U	9006037	1043506	43930
	U	9006561	1043665	44095
	U	9006561	1043693	44124
	U	9006561	1043728	44160
I-29	U	9006541	1043776	44209
	U	9006561	1043808	44244
39	U	9006037	1043843	44279
39	U	9006037	1043852	44288
	U	9006561	1043854	44290
40	U	9006037	1043955	44391
40	U	9006037	1043975	44411
40	U	9006037	1043986	44422
40	U	9006037	1043996	44432
	U	9006561	1044018	44455
	U	9006561	1044056	44493
40	U	9006037	1044058	44495
40	U	9006037	1044060	44497
	U	9006561	1044073	44510
41	U	9006037	1044085	44522
41	U	9006037	1044126	44563
	U	9006561	1044204	44642
46	U	9006037	1044250	44691
