$29a	1EAD	„Úa
$29e	1EC7	„Úe
$29o	1ED9	„Úo
$30A	1EA6	„·A
$30E	1EC0	„·E
$30O	1ED2	„·O
$30a	1EA7	„·a
$30e	1EC1	„·e
$30o	1ED3	„·o
$31A	1EB0	Ê·A
$31a	1EB1	Ê·a
$32O	1EDC	·¨
$32U	1EEA	·≠
$32o	1EDD	·º
$32u	1EEB	·Ω
$34A	1EA8	„‡A
$34E	1EC2	„‡E
$34O	1ED4	„‡O
$34a	1EA9	„‡a
$34e	1EC3	„‡e
$34o	1ED5	„‡o
$35O	1EDE	‡¨
$35U	1EEC	‡≠
$35o	1EDF	‡º
$35u	1EED	‡Ω
$36O	1EE0	‰¨
$36U	1EEE	‰≠
$36o	1EE1	‰º
$36u	1EEF	‰Ω
$37A	1EB4	Ê‰A
$37a	1EB5	Ê‰a
$38A	1EAA	„‰A
$38E	1EC4	„‰E
$38O	1ED6	„‰O
$38a	1EAB	„‰a
$38e	1EC5	„‰e
$38o	1ED7	„‰o
$39A	1EB6	ÊÚA
$39a	1EB7	ÊÚa
$41I	1E2E	Ë‚I
$41i	1E2F	Ë‚i
$46B	1E06	ˆB
$46D	1E0E	ˆD
$46H	0048 0332	ˆH
$46L	1E3A	ˆL
$46N	1E48	ˆN
$46R	1E5E	ˆR
$46S	0053 0332	ˆS
$46T	1E6E	ˆT
$46Z	1E94	ˆZ
$46b	1E07	ˆb
$46d	1E0F	ˆd
$46h	1E96	ˆh
$46l	1E3B	ˆl
$46n	1E49	ˆn
$46r	1E5F	ˆr
$46s	0073 0332	ˆs
$46t	1E6F	ˆt
$46z	1E95	ˆz
$47S	0218	˜S
$47s	0219	˜s
$48a	0061 031C	¯a
$48e	0065 031C	¯e
$49L	004C 0326	˜L
$50O	01A0	¨
$50U	01AF	≠
$50o	01A1	º
$50u	01B0	Ω
$51	02BA	∑
$55D	0110	£
$55d	0111	≥
$56T	0166	
$56t	0167	
$57AE	00C6	•
$58OE	0152	¶
$59OE	0152 0306	Ê¶
$60oe	0153 0306	Ê∂
$65g	0067 0312	
$66L	004C 0315	ÌL
$67	02BB	∞
$68	0314	
$69	201D	
$70ae	00E6	µ
$71oe	0153	∂
$73i	0131	∏
$74	00B7	®
$75	2018	
$76	02BC	Æ
$81H	0126	
$81h	0127	
$85SH		
$85Sh		
$86ZH		
$86Zh		
$91a	0061 02BE	aÆ
$92A	018F	
$92a	0259	
$93N	014A	
$93n	014B	
$98a	00AA	
$99o	00BA	
$102A	1EB2	Ê‡A
$102a	1EB3	Ê‡a
$103O	1ECE 0323	‡ÚO
$103U	1EE6 0323	‡ÚU
$103o	1ECF 0323	‡Úo
$103u	1EE7 0323	‡Úu
$104O	1ECE 0301	‡‚O
$104U	1EE6 0301	‡‚U
$104o	1ECF 0301	‡‚o
$104u	1EE7 0301	‡‚u
$112e	01DD	
