accessed 1/02	P	2009007037	7028446	1001172931
93	P	9005213	4001769	145167
	U	9005769	4001769	145167
	U	9006249	4001769	145167
187	P	2009007033	4001769	145167
187	N	2009007033	4001769	1001172350
187	N	2009007033	4001769	1001172349
375	P	9006871	7028475	1001173034
190	P	2009007033	7028475	1001173034
190	N	2009007033	7028475	1001173035
	U	9006561	1029609	29956
Accessed 04/09/2002.	N	9006900	7029041	1001174580
Accessed 04/09/2002.	N	9006900	7029041	1001174579
Accessed 04/09/2002.	N	9006900	7029041	1001174577
Accessed 04/09/2002	N	9006900	7029041	1001174578
	N	9006879	7029041	1001174585
	N	9006879	7029041	1001174583
	N	9006879	7029041	1001174584
	N	9006879	7029041	1001174581
	N	9006900	7029041	1001174589
I-5	U	9006568	7002402	84709
	U	9001606	7002402	84710
	U	9006253	7002402	84710
	U	9006303	7002402	84710
	U	9006449	7002402	84710
82	U	9006549	7002402	84710
336	U	9006548	7002402	173075
I, 383	U	9006447	7002402	325204
380	U	9006339	7002402	325205
V, 792	U	9005014	7002402	325206
V, 792	U	9005014	7002402	325207
	U	9006561	7002402	357514
I-53	U	9006568	1006029	6210
	U	9006561	1006029	760747
216-217	U	9006449	1007636	7837
39	U	9006549	1007636	7838
216	U	9006449	1007636	184005
II, 427	U	9005014	7024264	1158386
211	U	9006281	7024264	1158386
	U	9006303	7024264	1158386
	U	9006449	7024264	1158386
191	U	9006267	7024264	1158387
	U	9006449	7024264	1158387
136	U	9006527	7024264	1158388
	U	9000086	4001751	145149
	U	9006084	4001751	145149
II, 735	U	9005014	7001523	75671
202	U	9006267	7001523	75671
I, 143-144	U	9006447	7001523	75671
538	U	9006449	7001523	75671
37	U	9006549	7001523	75671
	U	9006829	7001523	75671
I-82	U	9006541	7001523	140196
II, 735	U	9005014	7001523	183947
XV, 458	U	9005014	7001523	327072
XV, 458-459	U	9005014	7001523	327073
	U	9006829	7001523	1158708
101	U	9006449	7018179	327060
	U	9006561	7018180	327061
I-84	U	9004825	7018366	327495
I-84	U	9004825	7029374	1001175228
accessed 04/15/99	U	9006707	7024352	1158551
337	U	9006548	6000509	165828
	U	9006563	6000509	165828
676	U	9004788	1000130	192
68	U	9004966	1000130	192
I-63	U	9006546	1000130	192
272	U	9006552	1000130	193
1211	U	9006527	1000130	138895
I, 445	U	9006550	1000130	138896
68	U	9004966	1000130	138897
328	U	9006528	1000130	138897
769	U	9004954	1000130	174651
1993-07-12, III-43	U	9004964	1000130	174651
769	U	9004954	1000130	174652
781	U	9004954	1000130	174653
1993-07-12, III-43	U	9004960	1000130	174653
781	U	9006449	1000130	174654
421	U	9006281	1000130	182253
VIII, 256	U	9005014	1000130	184140
673	U	9004960	1000130	322451
	U	9006561	1000130	322451
319	U	9006541	1000130	334275
17	U	9006690	1000130	1156740
17	U	9006690	1000130	1156741
52	U	9006765	1000130	1158238
25	U	9006851	1000130	1159430
	U	9006548	6004471	169790
	U	9006295	7011071	42637
	U	9006303	7011071	42637
	U	9006444	7011071	42637
	U	9006449	7011071	42637
197	U	9006549	7011071	42637
1206	U	9006267	7011071	42638
II, 927	U	9006447	7011071	42638
	U	9006449	7011071	42638
197	U	9006549	7011071	42638
	U	9006449	7011071	161298
357	U	9006548	7011071	174288
	U	9006723	7011071	1156816
	U	9006723	7011071	1156817
	U	9006723	7011071	1156818
	U	9006723	7011071	1156819
	U	9006723	7011071	1156820
	N	9006879	7029382	1001175262
524	U	9006267	7029382	1001175263
551	U	9006528	7029382	1001175264
II, 927	U	9006447	7029382	1001175265
	U	9006723	7029382	1001175266
Acessed 05/28/2002.	N	9006392	7029382	1001175267
Accessed 05/29/2002.	N	9006879	7029382	1001175268
