10000000	S	7028446
10000000	S	4001769
10000001	S	4001769
10000000	S	7028475
10000000	S	1029609
10000000	S	7029041
10000000	S	7002402
10000001	S	7002402
10000000	S	1006029
10000001	S	7029364
10000000	S	1007636
10000001	S	4000111
10000000	S	7024264
10000001	S	7024264
10000003	S	7024264
10000001	S	4001751
10000000	S	7001523
10000001	S	7001523
10000002	S	7018179
10000000	S	7018180
10000000	S	7018176
10000000	S	7018366
10000000	S	7029374
10000000	S	7024352
10000000	S	6000509
10000000	S	1000130
10000001	S	1000130
10000000	S	6004471
10000000	N	7011071
10000000	S	7011071
10000001	S	7011071
10000003	S	7011071
10000000	S	7029382
10000000	S	7029368
10000001	S	4008119
10000000	N	7029436
10000000	S	7029436
10000003	S	7029436
10000000	S	7003713
10000000	S	7027454
10000001	S	4003596
10000000	S	7003637
10000003	S	5000010
10000001	S	4007964
10000002	S	3000015
10000000	N	1111940
10000000	S	1111940
10000000	S	6001296
10000000	S	7024351
10000001	S	7012205
10000000	N	7026969
10000000	S	7026969
10000003	S	7026969
10000000	S	7008048
10000001	S	7008048
10000000	S	7029428
10000000	S	4012302
10000001	S	4012302
10000000	S	7029399
10000000	S	4010940
10000001	S	4010940
10000000	S	7029346
10000000	S	4010368
10000001	S	4010368
10000000	S	7029339
10000000	S	4009987
10000001	S	4009987
10000000	S	7029311
10000001	S	4008052
10000000	S	7029068
10000000	S	4007048
10000001	S	4007048
10000000	S	7028831
10000001	S	4002989
10000000	S	7027854
10000000	S	4003609
10000001	S	4003609
10000000	S	7027898
10000000	S	5000843
10000003	S	5000843
10000000	N	7026573
10000000	S	7026573
10000000	N	7008158
10000000	S	7008158
10000001	S	7008158
10000003	S	7008158
10000000	N	7026574
10000000	S	7026574
10000000	S	7008169
10000001	S	7008169
10000003	S	7008169
10000000	N	7026571
10000000	S	7026571
10000000	S	7008179
10000001	S	7008179
10000003	S	7008179
10000000	N	7026572
10000000	S	7026572
10000000	N	7008170
10000000	S	7008170
10000001	S	7008170
10000003	S	7008170
10000000	N	7008095
10000000	S	7008095
10000001	S	7008095
10000000	S	5000464
10000003	S	5000464
10000000	S	2011252
10000000	S	2221247
10000000	S	7026512
10000000	S	1003565
10000000	S	1094353
10000000	N	7029588
10000000	S	7029588
10000000	S	7007481
10000000	S	7024692
10000000	S	7029620
10000000	S	2505932
10000000	S	7029622
10000000	S	7028968
10000000	S	2025018
10000000	S	2747648
10000000	S	4006745
10000001	S	4006745
10000000	S	7029799
10000000	S	7029807
10000000	S	7029808
10000000	S	7025560
10000001	S	7025560
10000003	S	7025560
10000000	N	6002114
10000000	S	6002114
10000000	N	7029863
10000000	S	7029863
10000000	N	7029864
10000000	S	7029864
10000000	S	6006046
10000000	S	7018690
10000000	N	7030016
10000000	S	7030016
10000000	S	6001470
10000000	N	7029852
10000000	S	7029852
10000003	S	7029852
10000000	S	4001247
10000001	S	4001247
10000000	N	7029908
10000000	S	7029908
10000001	S	7029908
10000000	S	4002247
10000001	S	4002247
10000000	S	7024773
10000000	S	1030535
10000000	S	7029598
10000000	S	7006757
10000001	S	7006757
10000000	N	7024625
10000000	S	7024625
10000000	S	7009946
10000003	S	7009946
10000000	S	4008171
10000001	S	4008171
10000000	S	7026700
10000000	S	5000807
10000003	S	5000807
10000000	S	7026770
10000000	S	4007842
10000001	S	4007842
10000000	S	7029236
10000000	S	7010086
10000001	S	7010086
10000000	S	7029222
10000000	S	7025903
10000001	S	7011275
10000003	S	7011275
10000000	S	7025841
10000000	S	5000785
10000003	S	5000785
10000000	S	7025842
10000000	S	5000786
10000003	S	5000786
10000000	S	7028165
10000000	S	4011157
10000001	S	4011157
10000000	S	7026199
10000000	S	7026206
10000000	S	7023962
10000001	S	7023962
10000002	S	7023962
10000003	S	7023962
10000000	S	7024074
10000001	S	7024074
10000002	S	7024074
10000003	S	7024074
10000000	S	6006728
10000000	N	7002798
10000000	S	6006765
10000000	S	7002798
10000001	S	7002798
10000003	S	7002798
10000000	S	7024277
10000001	S	7024277
10000003	S	7024277
10000000	S	2010144
10000000	S	2149095
10000000	S	2048944
10000002	S	3000893
10000000	S	1111027
10000000	S	6005825
10000000	S	7030334
10000000	S	6005971
10000000	N	7030341
10000000	S	7030341
10000000	S	7000626
10000000	S	6006076
10000000	N	7026344
10000000	S	7026344
10000000	N	7026345
10000000	S	7026345
10000000	S	1079440
10000000	N	6005479
10000000	S	6005479
10000000	S	1086843
10000000	S	6005197
10000000	N	7024414
10000000	S	7024414
10000001	S	7024414
10000002	S	7024414
10000000	N	7029453
10000000	S	7029453
10000000	S	1086812
10000000	N	6005961
10000000	S	6005961
10000000	N	1099969
10000000	S	1099969
10000000	S	6006662
10000000	S	7016027
10000002	S	7016027
10000000	S	2637686
10000000	N	6005574
10000000	S	6005574
10000000	N	7015540
10000000	S	7015540
10000001	S	7015540
10000000	N	5001917
10000000	S	5001917
10000003	S	5001917
10000000	S	1042008
10000000	S	1095325
10000000	S	7030518
10000000	S	7016015
10000000	S	2139967
10000000	S	2714649
10000000	S	7022129
10000000	N	7030097
10000000	S	7030097
10000000	S	4012163
10000001	S	4012163
10000000	N	4009207
10000000	S	4009207
10000001	S	4009207
10000000	S	7029293
10000000	S	1030983
10000000	S	7030185
10000000	S	7001447
10000000	S	1100518
10000000	S	1132107
10000000	S	2786519
10000000	S	1063547
10000000	S	1063545
10000000	S	7031400
10000000	S	1101793
10000000	S	1110275
10000000	S	2640402
10000000	N	7029373
10000000	S	7029373
10000001	S	7029373
10000002	S	7029373
10000000	S	7029376
10000000	S	6005901
10000000	S	7030210
10000000	S	1113185
10000000	S	7030602
10000000	S	1079538
10000000	S	1079594
