			P	P		7012005	7028446
		C	P	P		7008160	4001769
			P	P		7008160	7028475
		C	P	P		7008160	1029609
			P	P		7016849	7029041
		C	P	P		7016849	7002402
		C	P	P		1010215	1006029
		C	P	P		4000106	7029364
		C	P	P		1010215	1007636
		C	P	P		1007636	1009242
		C	P	P		1007636	1012359
		C	P	P		1007636	1098756
		C	P	P		1007636	1098761
		C	P	P		1007636	1114429
		C	P	P		4000106	4000111
		C	P	P		1000070	7024264
		C	N	P		7024264	1035379
		C	N	P		7024264	7008221
		C	N	P		7024264	7008223
		C	N	P		7024264	7008224
		C	N	P		7024264	7008237
		C	N	P		7024264	7008242
		C	N	P		7024264	7008243
		C	N	P		7024264	7008244
		C	P	P		4000225	4001751
		C	P	P		1001977	7001523
		C	P	P		7001523	1003948
		C	P	P		7001523	1004018
		C	P	P		7001523	1004034
		C	P	P		7001523	1004237
		C	P	P		7001523	1004260
		C	P	P		7001523	1004859
		C	P	P		7001523	1005621
		C	P	P		7001523	1005686
		C	P	P		7001523	1005712
		C	P	P		7001523	1005741
		C	P	P		7001523	1116105
		C	P	P		7001523	7010431
		C	P	P		7018174	7018179
		C	P	P		7018172	7018180
		C	P	P		7018187	7018176
		C	P	P		7018186	7018366
		C	P	P		7018186	7029374
		H	P	P		7024350	7024352
		C	P	P		6000000	6000509
		C	P	P		1000004	1000130
		C	P	P		1000130	1001046
		C	P	P		1000130	1001047
		C	P	P		1000130	1001132
		C	P	P		1000130	1001133
		C	P	P		1000130	1001163
		C	P	P		1000130	1001192
		C	P	P		1000130	1001199
		C	P	P		1000130	1001202
		C	P	P		1000130	1001222
		C	P	P		1000130	1001223
		C	P	P		1000130	1001226
		C	P	P		1000130	1001227
		C	P	P		1000130	1001269
		C	P	P		1000130	1001505
		C	P	P		1000130	1001527
		C	P	P		1000130	1001559
		C	P	P		1000130	1001589
		C	P	P		1000130	1002065
		C	P	P		1000130	1103408
		C	P	P		1000130	1103642
		C	P	P		1000130	1108750
		C	P	P		1000130	1108751
		C	P	P		1000130	1108756
		C	P	P		1000130	1108834
		C	P	P		1000130	1108889
		C	P	P		1000130	1108891
		C	P	P		1000130	1109707
		C	P	P		1000130	1109954
		C	P	P		1000130	1115339
		C	P	P		1000130	1115867
		C	P	P		1000130	1116058
		C	P	P		1000130	1120791
		C	P	P		1000130	1120839
		C	P	P		1000130	1120855
		C	P	P		1000130	1120868
		C	P	P		1000130	1121613
		C	P	P		1000130	1122649
		C	P	P		1000130	1122687
		C	P	P		1000130	1122698
		C	P	P		1000130	1122838
		C	P	P		1000130	1122855
		C	P	P		1000130	1123363
		C	P	P		1000130	1123601
		C	P	P		1000130	1123669
		C	P	P		1000130	1124812
		C	P	P		1000130	1125164
		C	P	P		1000130	1128111
		C	P	P		1000130	1128140
		C	P	P		1000130	1129358
		C	P	P		1000130	1129827
		C	P	P		1000130	1130429
		C	P	P		1000130	1130502
		C	P	P		1000130	1130509
		C	P	P		1000130	1130578
		C	P	P		1000130	1131158
		C	P	P		1000130	7002013
		C	P	P		6000000	6004471
		C	P	P		7002683	7011071
		C	P	P		7000123	7029382
			P	P		1000000	7029368
		C	P	P		4000225	4008119
		H	P	P		7003712	7029436
		H	P	P		7000080	7003713
		C	P	P		7008154	7027454
		C	P	P		4000225	4003596
		C	P	P		1000003	7003637
		C	P	P		5000000	5000010
		C	P	P		4000225	4007964
		C	P	P		3000001	3000015
		C	P	P		1000070	1111940
		C	P	P		7010680	6001296
		C	P	P		7024350	7024351
		C	P	P		7010680	7012205
		C	P	P		7002443	7026969
		C	P	P		7026969	1011336
		C	P	P		7026969	1012847
		C	P	P		7026969	1064559
		C	P	P		7026969	1064561
		C	P	P		7026969	1064565
		C	P	P		7026969	1064567
		C	P	P		7026969	1064575
		C	P	P		7026969	1064578
		C	P	P		7026969	1064581
		C	P	P		7026969	1064584
		C	P	P		7026969	1064586
		C	P	P		7026969	1064631
		C	P	P		7026969	1064643
		C	P	P		7026969	1064646
		C	P	P		7026969	1064647
		C	P	P		7026969	1064681
		C	P	P		7026969	1064682
		C	P	P		7026969	1064685
		C	P	P		7026969	1064700
		C	P	P		7026969	1064701
		C	P	P		7026969	1064722
		C	P	P		7026969	1064733
		C	P	P		7026969	1064753
		C	P	P		7026969	1064759
		C	P	P		7026969	1064781
		C	P	P		7026969	1064797
		C	P	P		7026969	1064801
		C	P	P		7026969	1064838
