70051	N	1000003	1159543
70051	P	1000003	3
70051	P	1000080	109
70051	N	1000080	1159389
70641	P	1000080	182800
70271	N	1000080	182806
70350	N	1000080	322851
70350	P	1000080	110
70431	P	1000080	110
70350	N	1000080	182801
70271	P	1000080	138642
70101	P	1000080	138643
70261	P	1000080	138641
70051	P	1121388	1157271
70350	U	1121388	352752
70431	P	1121388	1157270
70051	P	4003918	157102
70641	P	7000457	139941
70350	P	7000457	45063
70051	P	7000457	45064
70051	N	7000457	1159547
70431	N	7000457	164779
70101	P	7000457	139942
70051	N	7003163	1001178321
70432	N	7004847	172431
70051	N	7004847	1159546
70431	U	7005124	164803
70431	U	7005124	1001175590
70361	U	7005124	1001175588
70431	U	7005124	142981
70350	P	7006072	43698
70432	U	7006072	142980
70271	N	7006076	1001180009
70350	N	7006076	45603
70361	P	7006189	1001176101
70051	P	7009760	1910
70051	N	7009760	1159558
70051	P	7010394	1158662
70361	P	7011179	181414
70051	N	7011179	1159549
70431	P	7011179	141380
70350	P	7011179	47413
70051	P	7011179	47413
70051	N	7011179	140808
70350	P	7015413	162648
70051	P	7024741	1161159
70350	P	7028107	1001171685
70051	P	7029392	1001175299
