		42.8333	42	N	50	0											12.8333	12	E	50	0											1000080
		42.8333	42	N	50	0											11.25	11	E	15	0											1003460
		44.25	44	N	15	0											10.05	10	E	3	0											1003473
		43.0333	43	N	2	0											9.8167	9	E	49	0											1006715
		42.25	42	N	15	0											11.1	11	E	6	0											1007187
		42.3333	42	N	20	0											10.3167	10	E	19	0											1008204
		42.7	42	N	42	0											10.4333	10	E	26	0											1012389
		44.1167	44	N	7	0											10.7167	10	E	43	0											1043080
		43.9	43	N	54	0											11	11	E	0	0											1043117
		43.4833	43	N	29	0											10.3	10	E	18	0											1043230
		42.8	42	N	48	0											11.25	11	E	15	0											1043261
		43.5167	43	N	31	0											10.3	10	E	18	0											1043270
		43.3333	43	N	20	0											10.45	10	E	27	0											1043289
		44.0667	44	N	4	0											10.25	10	E	15	0											1043291
		43.7	43	N	42	0											12.1833	12	E	11	0											1043360
		43.0333	43	N	2	0											11.6167	11	E	37	0											1043373
		44.3167	44	N	19	0											9.9833	9	E	59	0											1043381
		44.2333	44	N	14	0											9.9333	9	E	56	0											1043404
		44	44	N	0	0											11.25	11	E	15	0											1043406
		43.2667	43	N	16	0											10.6	10	E	36	0											1043500
		43.7167	43	N	43	0											10.6167	10	E	37	0											1043506
		43.4667	43	N	28	0											11.6167	11	E	37	0											1043665
		43.7333	43	N	44	0											10.5833	10	E	35	0											1043693
		43.6833	43	N	41	0											10.6167	10	E	37	0											1043728
		43.45	43	N	27	0											11.05	11	E	3	0											1043776
		43.2667	43	N	16	0											11.9667	11	E	58	0											1043808
		43.5833	43	N	35	0											10.6667	10	E	40	0											1043843
		42.7333	42	N	44	0											10.3667	10	E	22	0											1043852
		43.95	43	N	57	0											10.9	10	E	54	0											1043854
		44.2167	44	N	13	0											10.1833	10	E	11	0											1043955
		43.1667	43	N	10	0											10.6	10	E	36	0											1043975
		43.4	43	N	24	0											11.0333	11	E	2	0											1043986
		42.8833	42	N	53	0											11.5333	11	E	32	0											1043996
		42.7667	42	N	46	0											11.7	11	E	42	0											1044018
		43	43	N	0	0											11.5167	11	E	31	0											1044056
		44.1	44	N	6	0											10.4	10	E	24	0											1044058
		43.2	43	N	12	0											10.9	10	E	54	0											1044060
		43.5333	43	N	32	0											11.7667	11	E	46	0											1044073
		42.7667	42	N	46	0											10.8833	10	E	53	0											1044085
		43.3	43	N	18	0											10.5167	10	E	31	0											1044126
		43.4833	43	N	29	0											10.6333	10	E	38	0											1044204
		42.8833	42	N	53	0											11.3833	11	E	23	0											1044250
		43.9833	43	N	59	0											10.85	10	E	51	0											1044257
		43	43	N	0	0											11.2833	11	E	17	0											1044289
		43.4167	43	N	25	0											11.7167	11	E	43	0											1044293
		43.6	43	N	36	0											10.4667	10	E	28	0											1044329
		44.0833	44	N	5	0											10.1667	10	E	10	0											1044342
		43.7833	43	N	47	0											11.5833	11	E	35	0											1044363
		44.05	44	N	3	0											10.5333	10	E	32	0											1044378
		44.1333	44	N	8	0											11.3	11	E	18	0											1044419
		43.8833	43	N	53	0											11.5167	11	E	31	0											1044483
		44.15	44	N	9	0											10.1667	10	E	10	0											1044532
		43.5667	43	N	34	0											10.5167	10	E	31	0											1044568
		44.2333	44	N	14	0											10.1167	10	E	7	0											1044626
		42.9333	42	N	56	0											10.75	10	E	45	0											1044641
		42.5667	42	N	34	0											11.1667	11	E	10	0											1044654
		43.9333	43	N	56	0											11.0333	11	E	2	0											1044669
		43.95	43	N	57	0											10.1667	10	E	10	0											1044679
		44.1333	44	N	8	0											10.0333	10	E	2	0											1044682
		43.4667	43	N	28	0											11.4333	11	E	26	0											1044730
		43.5333	43	N	32	0											10.95	10	E	57	0											1044749
		44.05	44	N	3	0											10.8167	10	E	49	0											1044775
		42.9333	42	N	56	0											10.8167	10	E	49	0											1044778
		42.3833	42	N	23	0											10.9	10	E	54	0											1044816
		44.0667	44	N	4	0											10.7667	10	E	46	0											1044983
		43.3833	43	N	23	0											10.8833	10	E	53	0											1045019
		43.5667	43	N	34	0											10.5833	10	E	35	0											1045020
		43.9167	43	N	55	0											10.2333	10	E	14	0											1045050
		44	44	N	0	0											10.8333	10	E	50	0											1045051
		44.2667	44	N	16	0											10.0333	10	E	2	0											1045082
		43.9	43	N	54	0											10.2167	10	E	13	0											1045085
		42.6	42	N	36	0											11.3	11	E	18	0											1045182
		42.5833	42	N	35	0											11.5167	11	E	31	0											1045211
		42.8	42	N	48	0											10.1667	10	E	10	0											1045242
		42.8167	42	N	49	0											10.2	10	E	12	0											1045243
		42.55	42	N	33	0											10.25	10	E	15	0											1045256
		44.0333	44	N	2	0											10.05	10	E	3	0											1045258
		43.3	43	N	18	0											10.4833	10	E	29	0											1045259
		42.7167	42	N	43	0											10.9667	10	E	58	0											1045261
		44.0167	44	N	1	0											10.1	10	E	6	0											1045262
		43.9333	43	N	56	0											10.2	10	E	12	0											1045265
		43.6667	43	N	40	0											10.2667	10	E	16	0											1045266
		44.0833	44	N	5	0											11.6167	11	E	37	0											1045278
		43.8667	43	N	52	0											10.3333	10	E	20	0											1045307
		43.9333	43	N	56	0											11.0167	11	E	1	0											1045466
		42.5833	42	N	35	0											11.0833	11	E	5	0											1045544
		43.2333	43	N	14	0											11.4167	11	E	25	0											1045551
		43.1333	43	N	8	0											10.85	10	E	51	0											1045557
		43.3	43	N	18	0											10.6667	10	E	40	0											1045563
		43.6333	43	N	38	0											11.0667	11	E	4	0											1045566
		43.1333	43	N	8	0											11.1833	11	E	11	0											1045576
		43.1333	43	N	8	0											11.1333	11	E	8	0											1045577
		43.6667	43	N	40	0											10.75	10	E	45	0											1045582
		43.9	43	N	54	0											10.2	10	E	12	0											1045612
		44.3	44	N	18	0											9.8833	9	E	53	0											1045629
		44.05	44	N	3	0											10.8333	10	E	50	0											1045754
		43.4667	43	N	28	0											11.6833	11	E	41	0											1045918
		43.9667	43	N	58	0											10.4	10	E	24	0											1045931
		43.6333	43	N	38	0											11.55	11	E	33	0											1045959
		42.85	42	N	51	0											11.6833	11	E	41	0											1045962
		44.1167	44	N	7	0											10.7333	10	E	44	0											1045970
		44.1667	44	N	10	0											11.3333	11	E	20	0											1045991
		43.95	43	N	57	0											10.2333	10	E	14	0											1046000
		43.6667	43	N	40	0											12.0333	12	E	2	0											1046002
		44.0167	44	N	1	0											10.7667	10	E	46	0											1046031
		43.3	43	N	18	0											10.8667	10	E	52	0											1046075
		43.6167	43	N	37	0											10.6333	10	E	38	0											1046082
		43.9833	43	N	59	0											11.25	11	E	15	0											1046089
		43.6833	43	N	41	0											10.9	10	E	54	0											1046095
		43.9	43	N	54	0											10.5167	10	E	31	0											1046096
		43.1667	43	N	10	0											11.4667	11	E	28	0											1046097
		44.0333	44	N	2	0											10.8833	10	E	53	0											1046118
		42.3833	42	N	23	0											11.2167	11	E	13	0											1046135
		42.7667	42	N	46	0											10.4	10	E	24	0											1046139
		42.4333	42	N	26	0											11.1167	11	E	7	0											1046148
		42.7833	42	N	47	0											10.25	10	E	15	0											1046205
		43.3833	43	N	23	0											11.85	11	E	51	0											1046210
		43.85	43	N	51	0											10.9667	10	E	58	0											1046215
		43.45	43	N	27	0											10.3667	10	E	22	0											1046217
		42.9	42	N	54	0											11.7667	11	E	46	0											1046228
		42.8167	42	N	49	0											10.4333	10	E	26	0											1046288
		42.7667	42	N	46	0											10.8667	10	E	52	0											1046302
		43.0167	43	N	1	0											11.1667	11	E	10	0											1046346
		43.4	43	N	24	0											10.4667	10	E	28	0											1046384
		43.3833	43	N	23	0											10.4333	10	E	26	0											1046385
		43.3667	43	N	22	0											10.8167	10	E	49	0											1046438
		44.1	44	N	6	0											11	11	E	0	0											1046451
		43.75	43	N	45	0											10.4333	10	E	26	0											1046545
		44.05	44	N	3	0											10.7833	10	E	47	0											1046567
		43.3333	43	N	20	0											10.5	10	E	30	0											1046615
		43.1	43	N	6	0											10.5333	10	E	32	0											1046641
		43.7167	43	N	43	0											10.7667	10	E	46	0											1046703
