		C	3000		7021554	6006046
		C	3000		6006046	7021554
		C	3000		7030129	5000786
		C	3000		5000786	7030129
		H	3202		7030334	7000442
		H	3201		7000442	7030334
		H	3202		7030341	7000642
		H	3201		7000642	7030341
		C	3510		6005574	7003124
		C	3510		7003124	6005574
		C	3000		7015540	7003029
		C	3000		7003029	7015540
		C	3000		7030097	7030096
		C	3000		7030096	7030097
