10000000	P	7028446	1001172931
10000001	N	4001769	145167
10000000	N	4001769	145167
10000000		4001769	1001172350
10000000		4001769	1001172349
10000000	P	7028475	1001173034
10000000		7028475	1001173035
10000000	N	1029609	29956
10000000	P	7029041	1001174577
10000000	N	7029041	1001174580
10000000	N	7029041	1001174579
10000000	N	7029041	1001174578
10000000	N	7029041	1001174585
10000000	N	7029041	1001174584
10000000	N	7029041	1001174581
10000000	N	7029041	1001174583
10000000	N	7029041	1001174589
10000000	N	7002402	84709
10000001	N	7002402	84710
10000000	N	7002402	84710
10000000	N	7002402	173075
10000000	N	7002402	325204
10000000	N	7002402	325205
10000000	N	7002402	325206
10000000	N	7002402	325207
10000000	N	7002402	357514
10000000	N	1006029	6210
10000000	N	1006029	760747
10000001	N	7029364	1001175189
10000000	N	1007636	7837
10000000	N	1007636	7838
10000000	N	1007636	184005
10000001	N	4000111	143495
10000001	N	7024264	1158386
10000003	N	7024264	1158386
10000000	N	7024264	1158386
10000001	N	7024264	1158387
10000003	N	7024264	1158387
10000000	N	7024264	1158387
10000000	N	7024264	1158388
10000001	N	4001751	145149
10000001	N	4001751	156868
10000000	N	7001523	75671
10000000	N	7001523	140196
10000000	N	7001523	183947
10000000	N	7001523	327072
10000000	N	7001523	1158708
10000001	N	7001523	75671
10000000	N	7001523	327073
10000002	N	7018179	327060
10000000	N	7018180	327061
10000000	N	7018176	327052
10000000	N	7018366	327495
10000000	N	7029374	1001175228
10000000	N	7024352	1158551
10000000	N	6000509	165828
10000001	N	1000130	192
10000000	N	1000130	192
10000000	N	1000130	193
10000000	N	1000130	138895
10000000	N	1000130	138896
10000001	N	1000130	138897
10000000	N	1000130	138897
10000000	N	1000130	174651
10000000	N	1000130	174652
10000000	N	1000130	174653
10000000	N	1000130	174654
10000000	N	1000130	182253
10000000	N	1000130	184140
10000000	N	1000130	322451
10000000	N	1000130	334275
10000000	N	1000130	1156740
10000000	N	1000130	1156741
10000000	N	1000130	1158238
10000000	N	1000130	1159430
10000000	N	6004471	169790
10000001	N	7011071	42637
10000000	N	7011071	42637
10000001	N	7011071	42638
10000003	N	7011071	42638
10000000	N	7011071	42638
10000003	N	7011071	161298
10000000	N	7011071	174288
10000000	N	7011071	1156816
10000000	N	7011071	1156817
10000000	N	7011071	1156818
10000000	N	7011071	1156819
10000000	N	7011071	1156820
10000000	N	7029382	1001175262
10000000	N	7029382	1001175263
10000000	N	7029382	1001175264
10000000	N	7029382	1001175265
10000000	N	7029382	1001175266
10000000	N	7029382	1001175267
10000000	N	7029382	1001175268
10000000	N	7029382	1001175269
10000000	N	7029382	1001175270
10000000	N	7029382	1001175271
10000000	N	7029382	1001175272
10000000	N	7029382	1001175273
10000000	N	7029382	1001175274
10000000	N	7029382	1001175275
10000000	N	7029382	1001175276
10000000	N	7029382	1001175277
10000000	N	7029382	1001175278
10000000	N	7029382	1001175279
10000000	P	7029368	1001175193
10000001	N	4008119	157748
10000001	N	4008119	157749
